"PREPRINT_DOI","PREPRINT_TITLE","PREPRINT_POSTED_DATE"
"10.1101/107938","the rapid evolution of alternative splicing in plants",2017-02-13
"10.1101/108217","exploring the complex dynamics of an ion channel voltage sensor domain via computation",2017-02-13
"10.1101/108191","uncharacterized bacterial structures revealed by electron cryotomography",2017-02-13
"10.1101/107995","the kinetics of pre-mrna splicing in the drosophila genome: influence of gene architecture",2017-02-13
"10.1101/108068","the deubiquitylating enzyme ubp12 regulates rad23-dependent substrate delivery at the proteasome",2017-02-13
"10.1101/107870","function of the arabidopsis kinesin-4, fra1, requires abundant processive motility",2017-02-13
"10.1101/107979","bursting on a two states stochastic model for gene transcription indrosophilaembryos",2017-02-13
"10.1101/108043","single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.",2017-02-13
"10.1101/108209","structure of the archaellar motor and associated cytoplasmic cone in thermococcus kodakaraensis",2017-02-13
"10.1101/108019","inferring decoding strategies for multiple correlated neural populations",2017-02-13
"10.1101/108035","ciliomotor circuitry underlying whole-body coordination of ciliary activity in the platynereis larva",2017-02-13
"10.1101/108134","integrative cross tissue analysis of gene expression identifies novel type 2 diabetes genes",2017-02-13
"10.1101/108241","hic1 links retinoic acid signalling to group 3 innate lymphoid cell-dependent regulation of intestinal immunity and homeostasis",2017-02-13
"10.1101/108225","caenorhabditis elegans bmp transcriptional program implicates collagen genes in body size regulation",2017-02-13
"10.1101/108159","short term changes in the proteome of human cerebral organoids induced by 5-methoxy-n,n-dimethyltryptamine",2017-02-13
"10.1101/108076","spodoptera exigua caterpillar feeding induces rapid defense responses in maize leaves",2017-02-13
"10.1101/108688","inferring demographic history using two-locus statistics",2017-02-14
"10.1101/108407","cardiac events after macrolides or fluoroquinolones in patients hospitalized for community-acquired pneumonia: post-hoc analysis of a cluster-randomized trial",2017-02-14
"10.1101/108605","knock down of calcineurin-b2, a calcium binding regulatory subunit of calcineurin, gives rise to hypercontraction myopathy in indirect flight muscles of drosophila through dysregulation of calcium homeostasis",2017-02-14
"10.1101/108472","the regulation of tdna transcription during the directed differentiation of stem cells.",2017-02-14
"10.1101/108563","identification of the primary peptide inhibitor contaminant of fibrillation and toxicity in synthetic amyloid-ß42",2017-02-14
"10.1101/108316","modeling prediction error improves power of transcriptome-wide association studies",2017-02-14
"10.1101/108365","ongoing human chromosome end extension revealed by analysis of bionano and nanopore data",2017-02-14
"10.1101/108118","individual nucleotide resolution uv cross-linking and immunoprecipitation (iclip) to determine protein-rna interactions.",2017-02-14
"10.1101/108431","sparse synaptic connectivity is required for decorrelation and pattern separation in feedforward networks",2017-02-14
"10.1101/108357","the rise of the middle author: investigating collaboration and division of labor in biomedical research using partial alphabetical authorship",2017-02-14
"10.1101/108639","unifying temporal phenomena in human visual cortex",2017-02-14
"10.1101/105569","microct-based phenomics in the zebrafish skeleton reveals virtues of deep phenotyping in a distributed organ system",2017-02-14
"10.1101/108282","resting-state network dysfunction in alzheimer's disease: a systematic review and meta-analysis",2017-02-14
"10.1101/108498","mlh3 separation of function and endonuclease defective mutants display an unexpected effect on meiotic recombination outcomes",2017-02-14
"10.1101/108332","mite-based drives to transcriptional control of genome host",2017-02-14
"10.1101/108662","prospects for genomic selection in cassava breeding",2017-02-14
"10.1101/104653","repli-seq: genome-wide analysis of replication timing by next-generation sequencing",2017-02-14
"10.1101/108266","the transcriptional basis of quantitative behavioral variation",2017-02-14
"10.1101/108613","synthetic dna templates for the production of in situ hybridization probes",2017-02-14
"10.1101/108464","neutrophil elastase inhibitor sivelestat ameliorates gefitinib-naphthalene-induced acute pneumonitis in mice",2017-02-14
"10.1101/108480","biomedical text mining for research rigor and integrity: tasks, challenges, directions",2017-02-14
"10.1101/108423","biological invasions in rodent communities: from ecological interactions to zoonotic bacterial infection issues",2017-02-14
"10.1101/108704","an oscillopathic approach to developmental dyslexia: from genes to speech processing",2017-02-14
"10.1101/108308","the power of a multivariate approach to genome-wide association studies: an example with drosophila melanogaster wing shape",2017-02-14
"10.1101/108381","a minimal set of internal control genes for gene expression studies in head and neck squamous cell carcinoma",2017-02-14
"10.1101/108514","normcorre: an online algorithm for piecewise rigid motion correction of calcium imaging data",2017-02-14
"10.1101/108654","evaluation of anticancer and anti-mitotic properties of quinazoline and quinazolino-benzothiadiazine derivatives",2017-02-14
"10.1101/108647","distinct dna-binding surfaces in the atpase and linker domains of mutl<U+03B3> determine its substrate specificities and exert separable functions in meiotic recombination and mismatch repair",2017-02-14
"10.1101/108233","in vivostructures of an intact type vi secretion system revealed by electron cryotomography",2017-02-14
"10.1101/108274","oestrogenic vascular effects are diminished by ageing",2017-02-14
"10.1101/102111","a sign of disparity: racial/ethnic composition of treatment centers is an independent risk factor in sprint trial",2017-02-14
"10.1101/108126","a rareil2rahaplotype identifies snp rs61839660 as causal for autoimmunity",2017-02-14
"10.1101/108589","can ebola virus evolve to be less virulent in humans?",2017-02-14
"10.1101/108555","unmet needs for analyzing biological big data: a survey of 704 nsf principal investigators",2017-02-14
"10.1101/108530","a generator of morphological clones for plant species",2017-02-14
"10.1101/108985","an encoding model of temporal processing in human visual cortex",2017-02-15
"10.1101/108738","a computational model of shared fine-scale structure in the human connectome",2017-02-15
"10.1101/108761","genome-scale genetic interactions position the mitotic exit network as a major antagonist of transient topoisomerase ii deficiency.",2017-02-15
"10.1101/108571","novel methods of isolation and amplification of progenitor cells applied to avian primordial germ cells",2017-02-15
"10.1101/108753","frequency-specific directed interactions in the human brain network for language",2017-02-15
"10.1101/108795","[re] optimization of a free water elimination two-compartment model for diffusion tensor imaging.",2017-02-15
"10.1101/108993","a non-invasive, quantitative study of broadband spectral responses in human visual cortex",2017-02-15
"10.1101/108845","in vitro induction and in vivo engraftment of lung bud tip progenitor cells derived from human pluripotent stem cells",2017-02-15
"10.1101/108100","phageterm: a fast and user-friendly software to determine bacteriophage termini and packaging mode using randomly fragmented ngs data",2017-02-15
"10.1101/108779","glycerophosphodiesterase gde2 affects pancreas differentiation in zebrafish",2017-02-15
"10.1101/108746","t-dependent b cell responses to plasmodium induce antibodies that form a high-avidity multivalent complex with the circumsporozoite protein",2017-02-15
"10.1101/108928","variance in estimated pairwise genetic distance under high versus low coverage sequencing: the contribution of linkage disequilibrium",2017-02-15
"10.1101/108852","infants' neural oscillatory processing of theta-rate speech patterns exceeds adults'",2017-02-15
"10.1101/108902","rna polymerases iv and v influence the 3' boundaries of polymerase ii transcription units in arabidopsis",2017-02-15
"10.1101/108720","versatile multicolor nanodiamond probes for intracellular imaging and targeted labeling",2017-02-15
"10.1101/108712","health quality of seed potato and yield losses in ecuador",2017-02-15
"10.1101/109009","impacts of bisphenol a and ethinyl estradiol on male and female cd-1 mouse spleen",2017-02-15
"10.1101/107748","on the heritability of criminal justice processing",2017-02-15
"10.1101/108878","speaker gaze increases information coupling between infant and adult brains",2017-02-15
"10.1101/108936","a supernova at 50 pc: effects on the earth's atmosphere and biota",2017-02-15
"10.1101/108696","thermal adaptation constrains the temperature dependence of ecosystem metabolism",2017-02-15
"10.1101/073866","mtorc1 controls phase-separation and the biophysical properties of the cytoplasm by tuning crowding",2017-02-16
"10.1101/109264","translation efficiency is maintained at elevated temperature in e. coli",2017-02-16
"10.1101/109199","maintaining the provenance of microscopy metadata using omero.forms software",2017-02-16
"10.1101/109132","developmental downregulation of lis1 expression limits axonal extension and allows axon pruning",2017-02-16
"10.1101/109025","spatial variation of soil moisture and its effect on lint yield in a deficit irrigated cotton field",2017-02-16
"10.1101/109215","assessment of asymmetric cell divisions in the early development of caenorhabditis elegans",2017-02-16
"10.1101/109033","harnessing sleep/wake state tracking by olfactory bulb oscillations to perform fully brain-based sleep scoring in mice",2017-02-16
"10.1101/108977","""opposite-of""-information improves similarity calculations in phenotype ontologies",2017-02-16
"10.1101/109256","multiple-object tracking as a tool for parametrically modulating memory reactivation",2017-02-16
"10.1101/109082","a general and powerful stage-wise testing procedure for differential expression and differential transcript usage",2017-02-16
"10.1101/108951","treatment of graft-versus-host disease by echinomycin in a new humanized mouse model",2017-02-16
"10.1101/109157","cyanophage-encoded lipid-desaturases: oceanic distribution, diversity and function",2017-02-16
"10.1101/109066","hypoxia has lasting effects on fast startle behavior of a tropical fish, (haemulon plumieri)",2017-02-16
"10.1101/109041","estimating environmental suitability",2017-02-16
"10.1101/106591","chromone scaffold-mediated reprogramming of the epithelial mesenchymal transition prevents fibrosis",2017-02-16
"10.1101/086835","modelling competition for nutrients between microbial populations growing on a solid agar surface",2017-02-16
"10.1101/108944","the case against full probability distributions in perceptual decision making",2017-02-16
"10.1101/109140","a new model for ancient dna decay based on paleogenomic meta-analysis",2017-02-16
"10.1101/109017","reproducibility2020: progress and priorities",2017-02-16
"10.1101/109181","age-related changes in spatial and temporal features of resting state fmri",2017-02-17
"10.1101/109108","holographic deep learning for rapid optical screening of anthrax spores",2017-02-16
"10.1101/109330","linking soil biology and chemistry using bacterial isolate exometabolite profiles",2017-02-17
"10.1101/109306","a fluorescent split aptamer for visualizing rna-rna assembly in vivo",2017-02-17
"10.1101/109447","early archean origin of photosystem ii",2017-02-17
"10.1101/108324","parsing propagule pressure: number, not size, of introductions drives colonization success in a novel environment",2017-02-17
"10.1101/109587","emergent community agglomeration from data set geometry",2017-02-17
"10.1101/109470","studies in particle sorting byparameciumcilia arrays",2017-02-17
"10.1101/094581","mass spectrometrists should search for all peptides, but assess only the ones they care about",2017-02-17
"10.1101/108894","individual differences in responsivity to social rewards: insights from two eye-tracking tasks",2017-02-17
"10.1101/109637","mine recruits, stabilizes, releases, and inhibits mind interactions with membrane to drive oscillation",2017-02-17
"10.1101/103150","laboratory cultivation of acidophilic nanoorganisms. physiological and bioinformatic dissection of a stable laboratory co-culture.",2017-02-17
"10.1101/109504","histmapr: rapid digitization of historical land-use maps in r",2017-02-17
"10.1101/109363","high-confidence coding and noncoding transcriptome maps",2017-02-17
"10.1101/109389","significance estimation for large scale untargeted metabolomics annotations",2017-02-17
"10.1101/109397","from sequence to function: coevolving amino acids encode structural and functional domains",2017-02-17
"10.1101/102525","learning place cells, grid cells and invariances: a unifying model",2017-02-17
"10.1101/107441","distinct neural systems for the production of communicative vocal behaviors",2017-02-17
"10.1101/078527","activation of the hypothalamic feeding centre upon visual prey detection",2017-02-17
"10.1101/109371","patterns of shared signatures of recent positive selection across human populations",2017-02-17
"10.1101/107664","the erratic and contingent progression of research on territoriality: a case study.",2017-02-17
"10.1101/109090","the stochastic early reaction, inhibition, and late action (seria) model for antisaccades seria - a model for errors and reaction times in the antisaccade task",2017-02-17
"10.1101/109439","a novel mitochondrial enriched antioxidant protects neurons against acute oxidative stress",2017-02-17
"10.1101/109280","proper experimental design requires randomization/balancing of molecular ecology experiments",2017-02-17
"10.1101/109595","optogenetic control of rhoa reveals zyxin-mediated elasticity of stress fibers",2017-02-17
"10.1101/109629","modeling allele-specific gene expression by single-cell rna sequencing",2017-02-17
"10.1101/109173","gene-cocite: a web application for extracting, visualising and assessing the cocitations of a list of genes",2017-02-17
"10.1101/109355","commentary on sanborn and chater: posterior modes are attractor basins",2017-02-17
"10.1101/109520","verification of arabidopsis stock collections using snpmatch - an algorithm for genotyping high-plexed samples",2017-02-17
"10.1101/109207","systematic analysis of cell phenotypes and cellular social networks in tissues using the histology topography cytometry analysis toolbox (histocat)",2017-02-17
"10.1101/109223","darker eggs resist more to desiccation: the case of melanin inaedes,anophelesandculexmosquito vectors",2017-02-17
"10.1101/109538","using remote camera traps to assess mammal and bird assemblages across a complex environmental landscape",2017-02-17
"10.1101/109405","simulating retinal encoding: factors influencing vernier acuity",2017-02-17
"10.1101/109553","zebrafish models for human ala-dehydratase-deficient porphyria (adp) and hereditary coproporphyria (hcp) generated with talen and crispr-cas9",2017-02-17
"10.1101/109124","whole exome sequencing reveals a mutation in armc9 as a cause of mental retardation, ptosis and polydactyly",2017-02-17
"10.1101/109579","the third moments of the site frequency spectrum",2017-02-17
"10.1101/108456","analysis of the quality of macromolecular structures",2017-02-17
"10.1101/109488","toxicity and applications of internalised magnetite nanoparticles within liveparamecium caudatumcells",2017-02-17
"10.1101/109728","intervene: a tool for intersection and visualization of multiple gene or genomic region sets",2017-02-18
"10.1101/109736","feedforward inhibition allows input summation to vary in recurrent cortical networks",2017-02-18
"10.1101/109645","long-term taxonomic and functional divergence from donor bacterial strains following fecal microbiota transplantation in immunocompromised patients",2017-02-18
"10.1101/109652","comprehensive analysis of constraint on the spatial distribution of missense variants in human protein structures",2017-02-18
"10.1101/109686","metagenomic dna sequencing for the diagnosis of intraocular infections",2017-02-18
"10.1101/109710","the locus coeruleus is a complex and differentiated neuromodulatory system",2017-02-18
"10.1101/109603","bayesian inference of transcription dynamics from population snapshots of single-molecule rna fish in single cells",2017-02-18
"10.1101/109348","genome sequencing reveals zika virus diversity and spread in the americas",2017-02-18
"10.1101/109769","gene knockout shows that pml (trim19) does not restrict the early stages of hiv-1 infection in human cell lines",2017-02-19
"10.1101/109751","heterogeneity of normal human breast stem and progenitor cells as revealed by transcriptional profiling",2017-02-18
"10.1101/109777","stroke-associated pattern of gene expression previously identified by machine-learning is diagnostically robust in an independent patient population.",2017-02-19
"10.1101/109785","a cell-topography based mechanism for ligand discrimination by the t-cell receptor",2017-02-19
"10.1101/109801","simulation framework for generating intratumor heterogeneity patterns in a cancer cell population",2017-02-19
"10.1101/109793","niche construction in evolutionary theory: the construction of an academic niche?",2017-02-19
"10.1101/109892","automated 3d neuron tracing with precise branch erasing and confidence controlled back-tracking",2017-02-20
"10.1101/109926","bird interactions with drones, from individuals to large colonies",2017-02-20
"10.1101/109074","using edna to detect the distribution and density of invasive crayfish in the honghe-hani rice terrace world heritage site",2017-02-20
"10.1101/109561","estimation of the dispersal distances of an aphid-borne virus in a patchy landscape",2017-02-20
"10.1101/110056","a cell based, high throughput assay for quantitative analysis of hedgehog pathway activation using a smoothened phosphorylation sensor",2017-02-20
"10.1101/110031","complete mitochondrial genome of golden silk producer antheraea assamensis and its comparative analysis with other lepidopteran insects",2017-02-20
"10.1101/109991","local interactions lead to spatially correlated gene expression levels in bacterial groups.",2017-02-20
"10.1101/110064","meiotic recombination modulates the structure and dynamics of the synaptonemal complex during c. elegans meiosis",2017-02-20
"10.1101/109231","open design 3d-printable adjustable micropipette that meets iso standard for accuracy",2017-02-20
"10.1101/107987","do candidate genes affect the brain's white matter microstructure? large-scale evaluation of 6,165 diffusion mri scans",2017-02-20
"10.1101/104661","creating a community of data champions",2017-02-20
"10.1101/109868","are oceanic fronts ecotones? seasonal changes along the subtropical front show fronts as bacterioplankton transition zones but not diversity hotspots",2017-02-20
"10.1101/110148","evolinc: a comparative transcriptomics and genomics pipeline for quickly identifying sequence conserved lincrnas for functional analysis.",2017-02-20
"10.1101/109934","a cautionary tale on using tumour growth rate to predict survival",2017-02-20
"10.1101/110007","stochastic model of contact inhibition and the proliferation of melanomain situ",2017-02-20
"10.1101/110098","nima-related kinase 1 (nek1) regulates the localization and phosphorylation of a-adducin (add1) and myosin x (myo10) during meiosis",2017-02-20
"10.1101/108027","the impact factor fallacy",2017-02-20
"10.1101/109298","can the location of a trophectoderm biopsy contribute to human blastocyst development ?",2017-02-20
"10.1101/109876","a fast and accurate algorithm to test for binary phenotypes and its application to phewas",2017-02-20
"10.1101/109942","real-time decoding of bladder pressure from pelvic nerve activity",2017-02-20
"10.1101/109827","new insights on the pharmacogenomics of antidepressant response from the gendep and star*d studies: rare variant analysis and high-density imputation",2017-02-20
"10.1101/109983","precise insertion and guided editing of higher plant genomes using cpf1 crispr nucleases",2017-02-20
"10.1101/109819","reason's enemy is not emotion: engagement of cognitive control networks explains biases in gain/loss framing",2017-02-20
"10.1101/110171","genome-wide regulatory model from mpra data predicts functional regions, eqtls, and gwas hits",2017-02-20
"10.1101/109843","single-cell epigenomics maps the continuous regulatory landscape of human hematopoietic differentiation",2017-02-21
"10.1101/109678","holocene selection for variants associated with cognitive ability: comparing ancient and modern genomes.",2017-02-21
"10.1101/110742","modeling mechanical interactions in growing populations of rod-shaped bacteria",2017-02-21
"10.1101/110726","soil classification predicts differences in prokaryotic communities across a range of geographically distant soils once ph is accounted for",2017-02-21
"10.1101/110304","global proteomic analyses of macrophage response to mycobacterium tuberculosis infection",2017-02-21
"10.1101/110262","save: a secure cloud-based pipeline for crispr pooled screen deconvolution",2017-02-21
"10.1101/110270","neural activity in the fronto-parietal multiple demand network robustly predicts individual differences in working memory and fluid intelligence",2017-02-21
"10.1101/110528","sweep dynamics (sd) plots: computational identification of selective sweeps to monitor the adaptation of influenza a viruses",2017-02-21
"10.1101/110239","histone h3 lysine 4 methyltransferases mll3 and mll4 modulate long-range chromatin interactions at enhancers",2017-02-21
"10.1101/110676","deep learning reveals evolutionary conservation and divergence of sequence properties underlying gene regulatory enhancers across mammals",2017-02-21
"10.1101/110593","the sorghum bicolor reference genome: improved assembly and annotations, a transcriptome atlas, and signatures of genome organization",2017-02-21
"10.1101/110395","replication and characterization of cadm2 and msra genes on human behavior",2017-02-21
"10.1101/110452","large scale variation in the rate of de novo mutation, base composition, divergence and diversity in humans",2017-02-21
"10.1101/110700","copii-coated membranes function as transport carriers of intracellular procollagen-1",2017-02-21
"10.1101/110718","heritability of the structures and13c fractionation in tomato leaf wax alkanes: a genetic model system to inform paleoenvironmental reconstructions",2017-02-21
"10.1101/110072","learning multiple variable-speed sequences in striatum via cortical tutoring",2017-02-21
"10.1101/110346","chromvar: inferring transcription factor variation from single-cell epigenomic data",2017-02-21
"10.1101/110213","icytree: rapid browser-based visualization for phylogenetic trees and networks",2017-02-21
"10.1101/110643","structural covariance networks in children with autism or adhd",2017-02-21
"10.1101/110353","a novel method for single whitefly (bemisia tabaci) transcriptomes reveals an eleven amino acid deletion in the nusg protein in the bacterial endosymbiontportiera aleyrodidarum",2017-02-21
"10.1101/110510","genome-wide protein phylogenies for four african cichlid species",2017-02-21
"10.1101/110254","repressing integrase attachment site operation with crispr-cas9 in e. coli",2017-02-21
"10.1101/110189","environmental cholera (vibrio cholerae) dynamics in an estuarine system in southern coastal ecuador",2017-02-21
"10.1101/110403","boron hyperaccumulation mechanisms in puccinellia distans as revealed by transcriptomic analysis",2017-02-21
"10.1101/110387","gridss: sensitive and specific genomic rearrangement detection using positional de bruijn graph assembly",2017-02-21
"10.1101/110569","variability of quantal nmda to ampa current ratio in nucleus tractus solitarii neurons",2017-02-21
"10.1101/110130","similarity identification in gene expression patterns as a new approach in phenotype classification",2017-02-20
"10.1101/110296","resolving rapid radiations within angiosperm families using anchored phylogenomics",2017-02-21
"10.1101/110338","mir-126 impairs the intestinal barrier function via inhibiting s1pr2 mediated activation of pi3k/akt signaling pathway",2017-02-21
"10.1101/110619","micromanagment of stem cell proliferation by the drosophila testis stem cell niche",2017-02-21
"10.1101/110197","the mutation rates and mutational bias of influenza a virus",2017-02-21
"10.1101/110361","atomic resolution structure of serine protease proteinase k at ambient temperature",2017-02-21
"10.1101/110817","simulating heterogeneous populations using boolean models",2017-02-22
"10.1101/110981","do maternal antibodies facilitate hemagglutinin imprinting to influenza a viruses encountered early in childhood?",2017-02-22
"10.1101/111013","tuning transcriptional regulation through signaling: a predictive theory of allosteric induction",2017-02-22
"10.1101/110833","novel blood pressure locus and gene discovery using gwas and expression datasets from blood and the kidney",2017-02-22
"10.1101/110494","gcalignr: an r package for aligning gas-chromatography data",2017-02-22
"10.1101/110759","granatum: a graphical single-cell rna-seq analysis pipeline for genomics scientists",2017-02-22
"10.1101/110486","strategic exploration in human adaptive control",2017-02-22
"10.1101/110973","the evolution of queen control over worker reproduction in the social hymenoptera",2017-02-22
"10.1101/110288","a mixture copula bayesian network model for multimodal genomic data",2017-02-22
"10.1101/110924","functional connectivity between somatosensory and motor brain areas predicts individual differences in motor learning by observing",2017-02-22
"10.1101/110791","an attempt to replicate a dissociation between syntax and semantics during sentence comprehension reported by dapretto & bookheimer (1999, neuron)",2017-02-22
"10.1101/109660","locomotion induces stimulus-specific response enhancement in adult visual cortex",2017-02-22
"10.1101/110775","dynactin has two antagonistic regulatory domains and exerts opposing effects on dynein motility",2017-02-22
"10.1101/110437","consensus rank orderings of molecular fingerprints illustrate the most genuine similarities between marketed drugs and small endogenous human metabolites, but highlight exogenous natural products as the most important natural drug transporter substrates. biorxiv version.",2017-02-22
"10.1101/110841","decoding temporal interpretation of the morphogen bicoid in the earlydrosophilaembryo",2017-02-22
"10.1101/110882","gal4 activation domain 9aatad could be inactivated by adjacent mini-inhibitory domain and reactivated by distal re-activation domain",2017-02-22
"10.1101/110783","hiv population-level adaptation can rapidly diminish the impact of a partially effective vaccine",2017-02-22
"10.1101/110809","comparative insights to the transportome of nosema: a genus of parasitic microsporidians",2017-02-22
"10.1101/110577","evolution and manipulation of vector host choice",2017-02-22
"10.1101/110908","anoxia-induced vegf-release from rat cardiomyocites promotes vascular differentiation of human mesenchymal stem cells.",2017-02-22
"10.1101/110890","mitochondrial impairment and rescue in riboflavin responsive neuropathy",2017-02-22
"10.1101/111039","evaluating the clinical validity of gene-disease associations: an evidence-based framework developed by the clinical genome resource",2017-02-22
"10.1101/111021","harnessing human connectome project data for replication studies: a demonstration for resting state-task network correspondence",2017-02-22
"10.1101/110692","the pax9/wnt pathway regulates secondary palate formation in mice",2017-02-22
"10.1101/110544","mtorc1 in agrp neurons integrates exteroceptive and interoceptive food-related cues in the modulation of adaptive energy expenditure in mice",2017-02-22
"10.1101/110767","fitting mechanistic epidemic models to data: a comparison of simple markov chain monte carlo approaches",2017-02-22
"10.1101/111005","genetic architecture and molecular networks underlying leaf thickness in desert-adapted tomato solanum pennellii",2017-02-22
"10.1101/111153","the spatial and metabolic basis of colony size variation",2017-02-23
"10.1101/111229","dietary adaptation of fads genes in europe varied across time and geography",2017-02-23
"10.1101/110858","preprinting microbiology",2017-02-23
"10.1101/111237","the sequence of 1504 mutants in the model rice variety kitaake facilitates rapid functional genomic studies",2017-02-23
"10.1101/109496","foreground-background segmentation revealed during natural image viewing",2017-02-23
"10.1101/111179","real-time chromatin dynamics at the single gene level during transcription activation",2017-02-23
"10.1101/110932","mobility as the purpose of postural control",2017-02-23
"10.1101/111054","teacheng: a teaching engine for genomics",2017-02-23
"10.1101/111088","extract 2.0: text-mining-assisted interactive annotation of biomedical named entities and ontology terms",2017-02-23
"10.1101/111096","observation of histone nuclear import in living cells: implications in the processing of newly synthesised h3.1 & h4",2017-02-23
"10.1101/111161","metabolic enzyme cost explains variable trade-offs between microbial growth rate and yield",2017-02-23
"10.1101/110825","towards coordinated international support of core data resources for the life sciences",2017-02-23
"10.1101/104117","sensitivity of neurons in the middle temporal area of marmoset monkeys to random dot motion",2017-02-23
"10.1101/111203","the genomic architecture of flowering time varies across space and time in mimulus guttatus",2017-02-23
"10.1101/111070","dissociable effects of surprising rewards on learning and memory",2017-02-23
"10.1101/111138","human pgbd5 dna transposase promotes site-specific oncogenic mutations in rhabdoid tumors",2017-02-23
"10.1101/111104","the recombinase protein is a torque sensitive molecular switch.",2017-02-23
"10.1101/111146","a practical guide for inferring reliable dominance hierarchies and estimating their uncertainty",2017-02-23
"10.1101/110221","payoff-biased social learning underlies the diffusion of novel extractive foraging traditions in a wild primate",2017-02-21
"10.1101/110965","a spatially localized architecture for fast and modular computation at the molecular scale",2017-02-23
"10.1101/106161","metacherchant - an algorithm for analyzing genomic environment of antibiotic resistance gene in gut microbiota",2017-02-23
"10.1101/111526","how to name and classify your phage: an informal guide",2017-02-24
"10.1101/111492","stable association of a drosophila-derived microbiota with its animal partner and the nutritional environment upon transfer between populations and generations",2017-02-24
"10.1101/109272","poly(a)-clickseq: click-chemistry for next-generation 3'-end sequencing without rna enrichment or fragmentation",2017-02-24
"10.1101/111476","improved lc-ms chromatographic alignment increases the accuracy of label-free quantitative proteomics: comparison of spectral counting versus ion intensity-based proteomic quantification strategies.",2017-02-24
"10.1101/107078","flexibility to contingency changes distinguishes habitual and goal-directed strategies in humans",2017-02-24
"10.1101/111385","a genome-wide interactome of dna-associated proteins in the human liver",2017-02-24
"10.1101/111245","rna stores tau reversibly in complex coacervates",2017-02-24
"10.1101/111567","pgc-1a coordinates with bcl-2 to control cell cycle in u251 cells through reducing ros",2017-02-24
"10.1101/111583","high-throughput live-imaging of embryos in microwell arrays using a modular, inexpensive specimen mounting system",2017-02-24
"10.1101/111377","evolutionary dynamics of male reproductive genes in thedrosophila virilissubgroup",2017-02-24
"10.1101/111443","conserved changes in secondary structure and aggregation properties of in vitro evolved proteins for thermo stability",2017-02-24
"10.1101/111278","accumulation of sensory evidence is impaired in parkinson's disease with visual hallucinations",2017-02-24
"10.1101/111559","eelgrass leaf surface microbiomes are locally variable and highly correlated with epibiotic eukaryotes",2017-02-24
"10.1101/111484","a-tubulin acetylation and detyrosination correlate with starvation-induced autophagy in tobacco cells",2017-02-24
"10.1101/111195","controlling cell shape on hydrogels using lift-off patterning",2017-02-24
"10.1101/111112","oxygen consumption rate in gasterosteus aculeatus-schistocephalus solidus system from a non-migratory naturally infected population.",2017-02-24
"10.1101/111393","16gt: a fast and sensitive variant caller using a 16-genotype probabilistic model",2017-02-24
"10.1101/111435","beyond the limitation of randomized controlled trials (rcts)-current drug repositioning by using human induced pluripotent stem (ips) cells technology-",2017-02-24
"10.1101/111534","clay-induced dna double-strand breaks underlay genetic diversity, antibiotic resistance and could be a molecular basis for asbestos-induced cancer",2017-02-25
"10.1101/110684","laminar organization of encoding and memory reactivation in the parietal cortex",2017-02-25
"10.1101/111617","community evolution increases plant productivity at low diversity",2017-02-25
"10.1101/111609","becon: a tool for interpreting dna methylation findings from blood in the context of brain",2017-02-25
"10.1101/111716","bacterial tail anchors can target to the mitochondrial outer membrane",2017-02-25
"10.1101/111724","thermal transients excite neurons through universal intramembrane mechano-electrical effects",2017-02-25
"10.1101/111765","constraint-based modeling identifies new putative targets to fight colistin-resistant a. baumannii infections.",2017-02-25
"10.1101/111625","multiplexed confocal and super-resolution fluorescence imaging of cytoskeletal and neuronal synapse proteins",2017-02-25
"10.1101/111781","a unifying mechanism for the biogenesis of prokaryotic membrane proteins co-operatively integrated by the sec and tat pathways",2017-02-25
"10.1101/111807","limits on prediction in language comprehension: a multi-lab failure to replicate evidence for probabilistic pre-activation of phonology",2017-02-25
"10.1101/111575","inferring individual-level processes from population-level patterns in cultural evolution",2017-02-25
"10.1101/110940","an alternative stat signaling pathway acts in antiviral immunity incaenorhabditis elegans",2017-02-25
"10.1101/111708","the reactivation of reprogramming factors within human blastocysts by using atp contribute to human blastocyst development",2017-02-25
"10.1101/111732","comparing arenavirus infection patterns in experimentally and naturally infected rodent hosts",2017-02-25
"10.1101/111120","evidence-based gene models for structural and functional annotations of the oil palm genome",2017-02-25
"10.1101/111666","elastic multi-scale mechanisms: computation and biological evolution",2017-02-25
"10.1101/105247","releasing potential power of terpene synthases by a robust precursor supply platform",2017-02-25
"10.1101/111831","functional dissection of the pol v large subunit ctd in rna-directed dna methylation",2017-02-25
"10.1101/111922","the emerging british verticillium longisporum population consists of aggressive brassica pathogens",2017-02-26
"10.1101/111955","short dna sequence patterns accurately identify broadly active human enhancers",2017-02-26
"10.1101/111898","no effect of hippocampal lesions on stimulus-response bindings",2017-02-26
"10.1101/111906","engineering pulsatile communication in bacterial consortia",2017-02-26
"10.1101/110957","a common haplotype lowers pu.1 expression in myeloid cells and delays onset of alzheimer's disease",2017-02-26
"10.1101/111260","car t cells secreting il18 augment antitumor immunity and increase t cell proliferation and costimulation",2017-02-26
"10.1101/111930","costs and benefits of sub-lethal drosophila c virus infection",2017-02-26
"10.1101/112029","the mechanism of sphingolipid processing revealed by a galc-sapa complex structure",2017-02-27
"10.1101/112011","novel crispr/cas9 gene drive constructs in drosophila reveal insights into mechanisms of resistance allele formation and drive efficiency in genetically diverse populations",2017-02-27
