"control_issn","control_doi","control_comparison_doi","control_title","control_publisher","control_journal","control_volume","control_issue","control_type","control_date","IF","control_is_oa","control_oa_journal","control_oa_evidence","control_oa_host_type","control_score","control_tweets","control_facebook","control_feeds","control_mendeley"
"2041-1723","10.1038/s41467-017-01295-9","10.1038/s41467-017-01153-8","Transformation of doped graphite into cluster-encapsulated fullerene cages","Springer Nature","nature communications","8","1","journal-article","2017-10-25","12.353",TRUE,TRUE,"open (via page says license)","publisher",5.1,8,1,0,"5"
"2041-1723","10.1038/s41467-017-00864-2","10.1038/s41467-017-00645-x","Structural basis for IL-1a recognition by a modified DNA aptamer that specifically inhibits IL-1a signaling","Springer Nature","nature communications","8","1","journal-article","2017-10-04","12.353",TRUE,TRUE,"open (via page says license)","publisher",5.95,9,1,0,"26"
"1055-7903","10.1016/j.ympev.2017.09.014","10.1016/j.ympev.2017.09.008","Multiple transmission chains of coxsackievirus A4 co-circulating in China and neighboring countries in recent years: Phylogenetic and spatiotemporal analyses based on virological surveillance","Elsevier BV","molecular phylogenetics and evolution","118",NA,"journal-article","2017-09-21","4.412",FALSE,FALSE,NA,NA,0.75,3,0,0,"5"
"0027-8424","10.1073/pnas.1707189114","10.1073/pnas.1711979114","O2availability impacts iron homeostasis inEscherichia coli","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences","114","46","journal-article","2017-10-30","9.504",TRUE,FALSE,"oa repository (via OAI-PMH doi match)","repository",7.6,16,0,0,"19"
"2046-1402","10.12688/f1000research.13444.1","10.12688/f1000research.12490.2","Patent foramen ovale closure versus medical therapy for stroke prevention: A systematic review and meta-analysis of randomized controlled trials","F1000 Research, Ltd.","f1000research","6",NA,"journal-article","2017-12-27",NA,TRUE,TRUE,"open (via page says license)","publisher",0.5,2,0,0,"0"
"1932-6203","10.1371/journal.pone.0181573","10.1371/journal.pone.0181941","Genome-wide identification of the potato WRKY transcription factor family","Public Library of Science (PLoS)","plos one","12","7","journal-article","2017-07-20","2.766",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,"0"
"0021-8790","10.1111/1365-2656.12778","10.1111/1365-2656.12779","Critical disease windows shaped by stress exposure alter allocation trade-offs between development and immunity","Wiley","journal of animal ecology","87","1","journal-article","2017-11-02","4.459",TRUE,FALSE,"open (via free pdf)","publisher",7.2,10,0,0,"16"
"1476-9271","10.1016/j.compbiolchem.2017.08.006","10.1016/j.compbiolchem.2017.07.004","Molecular dynamics-assisted pharmacophore modeling of caspase-3-isatin sulfonamide complex: Recognizing essential intermolecular contacts and features of sulfonamide inhibitor class for caspase-3 binding","Elsevier BV","computational biology and chemistry","71",NA,"journal-article","2017-08-09","1.412",FALSE,FALSE,NA,NA,7,0,0,0,"7"
"2150-7511","10.1128/mbio.00312-18","10.1128/mbio.01219-17","
                    Correction for Sewell et al., “Homoacetogenesis in Deep-Sea
                    Chloroflexi
                    , as Inferred by Single-Cell Genomics, Provides a Link to Reductive Dehalogenation in Terrestrial
                    Dehalococcoidetes
                    ”
                  ","American Society for Microbiology","mbio","9","2","journal-article","2018-03-05","6.689",TRUE,TRUE,"oa journal (via doaj)","publisher",0.25,1,0,0,"1"
"1471-2164","10.1186/s12864-018-4478-3","10.1186/s12864-017-4413-z","Candidate SNP markers of reproductive potential are predicted by a significant change in the affinity of TATA-binding protein for human gene promoters","Springer Nature","bmc genomics","19","S3","journal-article","2018-02-09","3.73",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,"0"
"1534-5807","10.1016/j.devcel.2017.11.005","10.1016/j.devcel.2017.09.016","Localized Lysosome Exocytosis Helps Breach Tissue Barriers","Elsevier BV","developmental cell","43","4","journal-article","2017-11-21","9.616",FALSE,FALSE,NA,NA,0.25,1,0,0,"12"
"1932-6203","10.1371/journal.pone.0190277","10.1371/journal.pone.0190921","Transition probabilities between changing sensitization levels, waitlist activity status and competing-risk kidney transplant outcomes using multi-state modeling","Public Library of Science (PLoS)","plos one","12","12","journal-article","2017-12-29","2.766",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,"0"
"0028-0836","10.1038/nature23480","10.1038/nature23678","A randomized synbiotic trial to prevent sepsis among infants in rural India","Springer Nature","nature","548","7668","journal-article","2017-08-15","41.577",FALSE,FALSE,NA,NA,1035.562,648,25,9,"216"
"2040-2295","10.1155/2017/9034737","10.1155/2017/5284145","Resource Allocation and Outpatient Appointment Scheduling Using Simulation Optimization","Hindawi Limited","journal of healthcare engineering","2017",NA,"journal-article","2017-09-25","1.261",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,"0"
"2059-3635","10.1038/sigtrans.2017.50","10.1038/sigtrans.2017.60","Fibromodulin reduces scar formation in adult cutaneous wounds by eliciting a fetal-like phenotype","Springer Nature","signal transduction and targeted therapy","2",NA,"journal-article","2017-10-13",NA,TRUE,TRUE,"open (via page says license)","publisher",2.5,5,0,0,"4"
"1073-8584","10.1177/1073858417729988","10.1177/1073858417728032","Perspectives on Neuroscience and Behavior","SAGE Publications","the neuroscientist","23","5","journal-article","2017-09-14","7.461",FALSE,FALSE,NA,NA,0.5,1,1,0,"0"
"0305-1048","10.1093/nar/gkx1137","10.1093/nar/gkx1018","DNA knots occur in intracellular chromatin","Oxford University Press (OUP)","nucleic acids research","46","2","journal-article","2017-10-28","11.561",TRUE,TRUE,"open (via page says Open Access)","publisher",19.25,5,0,0,"19"
"2398-502X","10.12688/wellcomeopenres.12429.1","10.12688/wellcomeopenres.12199.1","Evaluation of the Luminex xTAG Respiratory Viral Panel FAST v2 assay for detection of multiple respiratory viral pathogens in nasal and throat swabs in Vietnam","F1000 Research, Ltd.","wellcome open research","2",NA,"journal-article","2017-09-05",NA,TRUE,FALSE,"oa repository (via OAI-PMH title match)","repository",0.75,2,0,0,"11"
"1001-0602","10.1038/cr.2017.102","10.1038/cr.2017.106","IPA1 functions as a downstream transcription factor repressed by D53 in strigolactone signaling in rice","Springer Nature","cell research","27","9","journal-article","2017-08-15","15.393",TRUE,FALSE,"oa repository (via OAI-PMH doi match)","repository",0.5,1,0,0,"38"
"0002-9483","10.1002/ajpa.23410","10.1002/ajpa.23378","Maternal breast and body symmetry in pregnancy and offspring condition","Wiley","american journal of physical anthropology","166","1","journal-article","2018-01-22","2.901",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"1063-5157","10.1093/sysbio/syx083","10.1093/sysbio/syx095","Corrigendum to: “Probabilistic Distances Between Trees”","Oxford University Press (OUP)","systematic biology","67","2","journal-article","2017-11-22","8.523",TRUE,FALSE,"open (via page says Open Access)","publisher",0,0,0,0,"0"
"2052-4463","10.1038/sdata.2017.191","10.1038/sdata.2017.203","TerraClimate, a high-resolution global dataset of monthly climate and climatic water balance from 1958–2015","Springer Nature","scientific data","5",NA,"journal-article","2018-01-09","5.311",TRUE,TRUE,"open (via page says license)","publisher",35.25,63,0,0,"112"
"1466-822X","10.1111/geb.12696","10.1111/geb.12706","Advances in flowering phenology across the Northern Hemisphere are explained by functional traits","Wiley","global ecology and biogeography","27","3","journal-article","2017-12-27","5.958",FALSE,FALSE,NA,NA,60.85,12,2,1,"59"
"2470-0045",NA,"10.1103/physreve.97.012204",NA,NA,NA,NA,NA,NA,NA,"2.284",NA,NA,NA,NA,12.35,17,1,0,"0"
"1018-4813","10.1038/s41431-018-0114-6","10.1038/s41431-018-0113-7","Periodic reanalysis of whole-genome sequencing data enhances the diagnostic advantage over standard clinical genetic testing","Springer Nature","european journal of human genetics","26","5","journal-article","2018-02-16","3.636",FALSE,FALSE,NA,NA,20.55,35,1,0,"33"
"1367-4803","10.1093/bioinformatics/bty017","10.1093/bioinformatics/bty034","A rapid epistatic mixed-model association analysis by linear retransformations of genomic estimated values","Oxford University Press (OUP)","bioinformatics","34","11","journal-article","2018-01-10","5.481",TRUE,FALSE,"open (via page says Open Access)","publisher",1.5,5,0,0,"13"
"2045-7758","10.1002/ece3.3463","10.1002/ece3.3564","Spatially varying density dependence drives a shifting mosaic of survival in a recovering apex predator (Canis lupus
)","Wiley","ecology and evolution","7","22","journal-article","2017-10-29","2.34",TRUE,TRUE,"open (via page says license)","publisher",0.5,2,0,0,"26"
"2161-5063","10.1021/acssynbio.7b00138","10.1021/acssynbio.7b00253","Yeast Terminator Function Can Be Modulated and Designed on the Basis of Predictions of Nucleosome Occupancy","American Chemical Society (ACS)","acs synthetic biology","6","11","journal-article","2017-08-03","5.316",FALSE,FALSE,NA,NA,1.5,4,0,0,"22"
"0042-6822","10.1016/j.virol.2017.06.034","10.1016/j.virol.2017.07.032","Pulmonary C-fiber degeneration downregulates IFN-<U+03B3> receptor 1 via IFN-a induction to attenuate RSV-induced airway hyperresponsiveness","Elsevier BV","virology","510",NA,"journal-article","2017-07-31","3.374",FALSE,FALSE,NA,NA,0.25,1,0,0,"5"
"0008-5472","10.1158/1538-7445.newfront17-a32","10.1158/0008-5472.can-17-0338","Abstract A32: Comprehensive analysis of molecular pathogenesis of multiple myeloma by genetic ancestry","American Association for Cancer Research (AACR)","cancer research","77","22 Supplement","journal-article","2017-12-01","9.13",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"1367-4803","10.1093/bioinformatics/btx741","10.1093/bioinformatics/btx787","Reproducible and flexible simulation experiments with ML-Rules and SESSL","Oxford University Press (OUP)","bioinformatics","34","8","journal-article","2017-11-22","5.481",FALSE,FALSE,NA,NA,1.85,4,0,0,"4"
"1757-9694","10.1039/c7ib00015d","10.1039/c7ib00120g","A multiscale study of the role of dynamin in the regulation of glucose uptake","Royal Society of Chemistry (RSC)","integrative biology","9","10","journal-article","2017-08-23","3.294",FALSE,FALSE,NA,NA,2.25,7,0,0,"9"
"0027-8424","10.1073/pnas.1715592114","10.1073/pnas.1712350114","Crystal structures of Mmm1 and Mdm12–Mmm1 reveal mechanistic insight into phospholipid trafficking at ER-mitochondria contact sites","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences","114","45","journal-article","2017-10-25","9.504",TRUE,FALSE,"oa repository (via OAI-PMH doi match)","repository",13.5,5,0,0,"28"
"0270-6474","10.1523/jneurosci.3945-16.2017","10.1523/jneurosci.0485-17.2017","Human Occipital and Parietal GABA Selectively Influence Visual Perception of Orientation and Size","Society for Neuroscience","the journal of neuroscience","37","37","journal-article","2017-08-15","5.971",TRUE,FALSE,"open (via page says license)","publisher",18.55,32,0,0,"37"
"1662-453X","10.3389/fnins.2017.00531","10.3389/fnins.2017.00487","Virtual Balancing for Studying and Training Postural Control","Frontiers Media SA","frontiers in neuroscience","11",NA,"journal-article","2017-09-26","3.877",TRUE,TRUE,"open (via page says license)","publisher",3.75,9,2,0,"13"
"1088-9051","10.1101/gr.231936.117","10.1101/gr.227272.117","CRISPR RNAs trigger innate immune responses in human cells","Cold Spring Harbor Laboratory","genome research","28","3","journal-article","2018-02-22","10.101",TRUE,FALSE,"open (via page says license)","publisher",49.95,14,0,1,"56"
"1548-7091","10.1038/nmeth.4597","10.1038/nmeth.4607","Imaging: Off-the-shelf super-resolution microscopy in whole cells","Springer Nature","nature methods","15","2","journal-article","2018-01-30","26.919",FALSE,FALSE,NA,NA,15.9,29,0,0,"11"
"2160-3308","10.1103/physrevx.7.031059","10.1103/physrevx.7.031045","Towards the Solution of the Many-Electron Problem in Real Materials: Equation of State of the Hydrogen Chain with State-of-the-Art Many-Body Methods","American Physical Society (APS)","physical review x","7","3","journal-article","2017-09-28","14.385",TRUE,TRUE,"open (via page says license)","publisher",10.5,3,1,0,"52"
"0027-8424","10.1073/pnas.1708350114","10.1073/pnas.1706600114","Efficient large-scale wind turbine deployment can meet global electricity generation needs","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences","114","43","journal-article","2017-10-12","9.504",TRUE,FALSE,"oa repository (via OAI-PMH title and first author match)","repository",1,2,0,0,"6"
"0305-1048","10.1093/nar/gky159","10.1093/nar/gky057","Polyadenylation and degradation of structurally abnormal mitochondrial tRNAs in human cells","Oxford University Press (OUP)","nucleic acids research","46","10","journal-article","2018-02-20","11.561",TRUE,TRUE,"open (via page says Open Access)","publisher",0,0,0,0,"0"
"2045-2322","10.1038/s41598-017-18702-2","10.1038/s41598-017-17689-0","Distribution analysis of epertinib in brain metastasis of HER2-positive breast cancer by imaging mass spectrometry and prospect for antitumor activity","Springer Nature","scientific reports","8","1","journal-article","2018-01-04","4.122",TRUE,TRUE,"open (via page says license)","publisher",4,8,0,0,"6"
"1471-2105","10.1186/s12859-017-1799-1","10.1186/s12859-017-1787-5","Using machine learning algorithms to identify genes essential for cell survival","Springer Nature","bmc bioinformatics","18","S11","journal-article","2017-10-03","2.213",TRUE,TRUE,"open (via page says license)","publisher",1.25,3,0,0,"10"
"2050-084X","10.7554/elife.35974","10.7554/elife.30134","Retraction: Protein kinase C is a calcium sensor for presynaptic short-term plasticity","eLife Sciences Publications, Ltd","elife","7",NA,"journal-article","2018-03-07","7.616",TRUE,TRUE,"oa journal (via doaj)","publisher",11.04,8,0,1,"0"
"1545-8547","10.1089/zeb.2017.1504","10.1089/zeb.2017.1488","Osmotic Concentration of Zebrafish (Danio rerio) Body Fluids Is Lower in Larvae than in Adults","Mary Ann Liebert Inc","zebrafish","15","1","journal-article","2017-10-23","1.733",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"0006-3495","10.1016/j.bpj.2017.08.008","10.1016/j.bpj.2017.08.013","Comparative Molecular Dynamics Analysis of RNase-S Complex Formation","Elsevier BV","biophysical journal","113","7","journal-article","2017-10-04","3.495",FALSE,FALSE,NA,NA,0.25,1,0,0,"2"
"0036-8075","10.1126/science.aas8740","10.1126/science.aao5167","Seven from 2017: <i>Science</i>Insider’s look back at hot stories of the year","American Association for the Advancement of Science (AAAS)","science",NA,NA,"journal-article","2018-01-01","41.058",TRUE,FALSE,"open (via page says license)","publisher",22.9,42,1,0,"0"
"2045-2322","10.1038/s41598-017-17154-y","10.1038/s41598-018-19494-9","On the homogeneity and heterogeneity of cortical thickness profiles in Homo sapiens sapiens","Springer Nature","scientific reports","7","1","journal-article","2017-12-14","4.122",TRUE,TRUE,"open (via page says license)","publisher",0.5,2,0,0,"7"
"1756-8935","10.1186/s13072-017-0156-y","10.1186/s13072-017-0158-9","NuA4 histone acetyltransferase activity is required for H4 acetylation on a dosage-compensated monosomic chromosome that confers resistance to fungal toxins","Springer Nature","epigenetics & chromatin","10","1","journal-article","2017-10-23","5.351",TRUE,TRUE,"open (via page says license)","publisher",1,4,0,0,"1"
"2160-1836","10.1534/g3.117.300099","10.1534/g3.117.300249","
            Selection Mapping Identifies Loci Underpinning Autumn Dormancy in Alfalfa (
            Medicago sativa
            )
          ","Genetics Society of America","g3&amp;#58; genes|genomes|genetics","8","2","journal-article","2017-12-19","2.742",TRUE,TRUE,"open (via page says license)","publisher",5.08,0,0,1,"7"
"1471-2164","10.1186/s12864-017-4148-x","10.1186/s12864-017-4156-x","A transcriptomic approach to study the effect of long-term starvation and diet composition on the expression of mitochondrial oxidative phosphorylation genes in gilthead sea bream (Sparus aurata)","Springer Nature","bmc genomics","18","1","journal-article","2017-10-11","3.73",TRUE,TRUE,"open (via page says license)","publisher",0.25,1,0,0,"19"
"1471-2105","10.1186/s12859-017-1862-y","10.1186/s12859-017-1786-6","An integrative approach to predicting the functional effects of small indels in non-coding regions of the human genome","Springer Nature","bmc bioinformatics","18","1","journal-article","2017-10-06","2.213",TRUE,TRUE,"open (via page says license)","publisher",0.75,3,0,0,"7"
"1664-8021","10.3389/fgene.2017.00160","10.3389/fgene.2017.00137","Can We Validate the Results of Twin Studies? A Census-Based Study on the Heritability of Educational Achievement","Frontiers Media SA","frontiers in genetics","8",NA,"journal-article","2017-10-26","4.151",TRUE,TRUE,"open (via page says license)","publisher",60.38,86,0,1,"15"
"1932-6203","10.1371/journal.pone.0186036","10.1371/journal.pone.0186959","Use of national standards to monitor HIV care and treatment in a high prevalence city—Washington, DC","Public Library of Science (PLoS)","plos one","12","10","journal-article","2017-10-05","2.766",TRUE,TRUE,"open (via page says license)","publisher",3,7,0,0,"3"
"0066-4804","10.1128/aac.01446-17","10.1128/aac.01603-17","
                    Activity of Meropenem-Vaborbactam in Mouse Models of Infection Due to KPC-Producing Carbapenem-Resistant
                    Enterobacteriaceae
                  ","American Society for Microbiology","antimicrobial agents and chemotherapy","62","1","journal-article","2017-11-06","4.256",FALSE,FALSE,NA,NA,9.25,1,0,0,"7"
"2045-2322","10.1038/s41598-017-15916-2","10.1038/s41598-017-14208-z","Low-intensity pulsed ultrasound improves behavioral and histological outcomes after experimental traumatic brain injury","Springer Nature","scientific reports","7","1","journal-article","2017-11-08","4.122",TRUE,TRUE,"open (via page says license)","publisher",1,3,0,0,"8"
"1461-023X","10.1111/ele.12865","10.1111/ele.12878","Biodiversity and ecosystem functioning in food webs: the vertical diversity hypothesis","Wiley","ecology letters","21","1","journal-article","2017-10-23","9.137",FALSE,FALSE,NA,NA,31.45,52,1,0,"169"
"1053-8119","10.1016/j.neuroimage.2017.11.027","10.1016/j.neuroimage.2017.12.060","Intrinsic insula network engagement underlying children's reading and arithmetic skills","Elsevier BV","neuroimage","167",NA,"journal-article","2017-11-21","5.426",FALSE,FALSE,NA,NA,1,3,0,0,"12"
"0028-646X","10.1111/nph.14991","10.1111/nph.14956","Cytokinin signaling: from the ER or from the PM? That is the question!","Wiley","new phytologist","218","1","journal-article","2018-01-22","7.433",TRUE,FALSE,"open (via free pdf)","publisher",16.9,23,1,0,"39"
"2160-1836","10.1534/g3.117.300296","10.1534/g3.117.300417","Comparison of ChIP-Seq Data and a Reference Motif Set for Human KRAB C2H2 Zinc Finger Proteins","Genetics Society of America","g3&amp;#58; genes|genomes|genetics","8","1","journal-article","2017-11-17","2.742",TRUE,TRUE,"open (via page says license)","publisher",6.45,13,0,0,"15"
"1471-2105","10.1186/s12859-017-1859-6","10.1186/s12859-017-1790-x","Identify Huntington’s disease associated genes based on restricted Boltzmann machine with RNA-seq data","Springer Nature","bmc bioinformatics","18","1","journal-article","2017-10-11","2.213",TRUE,TRUE,"open (via page says license)","publisher",1.75,4,0,0,"12"
"0961-8368","10.1002/pro.3317","10.1002/pro.3327","Sampling and energy evaluation challenges in ligand binding protein design","Wiley","protein science","26","12","journal-article","2017-10-05","2.41",TRUE,FALSE,"open (via page says license)","publisher",3.05,4,1,0,"21"
"1534-5807","10.1016/j.devcel.2017.11.017","10.1016/j.devcel.2017.12.004","Phytochrome A Negatively Regulates the Shade Avoidance Response by Increasing Auxin/Indole Acidic Acid Protein Stability","Elsevier BV","developmental cell","44","1","journal-article","2017-12-21","9.616",FALSE,FALSE,NA,NA,14,0,0,0,"24"
"1368-8375","10.1016/j.oraloncology.2017.06.028","10.1016/j.oraloncology.2017.07.003","Transoral robotic total laryngopharyngectomy and free jejunal flap reconstruction for hypopharyngeal cancer","Elsevier BV","oral oncology","72",NA,"journal-article","2017-07-15","4.636",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"1350-0872","10.1099/mic.0.000541","10.1099/mic.0.000572","Pseudomonas aeruginosa variants obtained from veterinary clinical samples reveal a role for cyclic di-GMP in biofilm formation and colony morphology","Microbiology Society","
microbiology","163","11","journal-article","2017-10-16","1.866",FALSE,FALSE,NA,NA,0.75,2,0,0,"6"
"2190-5991","10.1002/jcsm.12267","10.1002/jcsm.12272","Loss of skeletal muscle during systemic chemotherapy is prognostic of poor survival in patients with foregut cancer","Wiley","journal of cachexia, sarcopenia and muscle","9","2","journal-article","2018-01-10",NA,TRUE,FALSE,"open (via page says license)","publisher",50.45,71,0,0,"21"
"2379-5077","10.1128/msystems.00192-17","10.1128/msystems.00143-17","Prevalence and Source of Fecal and Oral Bacteria on Infant, Child, and Adult Hands","American Society for Microbiology","msystems","3","1","journal-article","2018-01-15","5.75",TRUE,TRUE,"oa journal (via doaj)","publisher",52.6,95,0,0,"20"
"1420-682X","10.1007/s00018-017-2678-7","10.1007/s00018-017-2682-y","Do anti-stroma therapies improve extrinsic resistance to increase the efficacy of gemcitabine in pancreatic cancer?","Springer Nature","cellular and molecular life sciences","75","6","journal-article","2017-10-09","6.721",FALSE,FALSE,NA,NA,0.25,1,0,0,"8"
"1065-9471","10.1002/hbm.23907","10.1002/hbm.23909","Disruption of network for visual perception of natural motion in primary dystonia","Wiley","human brain mapping","39","3","journal-article","2017-12-07","4.927",FALSE,FALSE,NA,NA,2.1,4,0,0,"9"
"2050-084X","10.7554/elife.32762","10.7554/elife.30294","Proteins acting out of (dis)order","eLife Sciences Publications, Ltd","elife","6",NA,"journal-article","2017-11-21","7.616",TRUE,TRUE,"open (via page says license)","publisher",24.6,52,1,0,"2"
"2291-5222","10.2196/mhealth.8228","10.2196/mhealth.8534","Effectiveness of SmartMoms, a Novel eHealth Intervention for Management of Gestational Weight Gain: Randomized Controlled Pilot Trial","JMIR Publications Inc.","jmir mhealth and uhealth","5","9","journal-article","2017-09-13","4.541",TRUE,TRUE,"open (via page says license)","publisher",8.05,15,2,0,"27"
"2050-084X","10.7554/elife.26107","10.7554/elife.30473","Countercurrent heat exchange and thermoregulation during blood-feeding in kissing bugs","eLife Sciences Publications, Ltd","elife","6",NA,"journal-article","2017-10-23","7.616",TRUE,TRUE,"open (via page says license)","publisher",25.18,31,1,1,"15"
"2046-6390","10.1242/bio.025734","10.1242/bio.030742","An ancient conserved role for prion protein in learning and memory","The Company of Biologists","biology open","7","1","journal-article","2018-01-23","2.217",TRUE,TRUE,"open (via page says license)","publisher",5.7,7,0,0,"16"
"2045-2322","10.1038/s41598-017-15862-z","10.1038/s41598-017-16777-5","The genomic landscape of Nepalese Tibeto-Burmans reveals new insights into the recent peopling of Southern Himalayas","Springer Nature","scientific reports","7","1","journal-article","2017-11-08","4.122",TRUE,TRUE,"open (via page says license)","publisher",2.25,2,1,0,"11"
"1471-2105","10.1186/s12859-017-1838-y","10.1186/s12859-017-1788-4","
            pulver: an R package for parallel ultra-rapid p-value computation for linear regression interaction terms","Springer Nature","bmc bioinformatics","18","1","journal-article","2017-09-29","2.213",TRUE,TRUE,"open (via page says license)","publisher",1.25,4,0,0,"5"
"1949-2553","10.18632/oncotarget.21592","10.18632/oncotarget.21732","STAT3-mediated activation of <i>miR-21</i> is involved in downregulation of TIMP3 and neovascularization in the ischemic retina","Impact Journals, LLC","oncotarget","8","61","journal-article","2017-10-07",NA,TRUE,FALSE,"open (via page says license)","publisher",0,0,0,0,"0"
"2042-3489","10.1080/20423489.2017.1408193","10.1080/20423489.2017.1393191","A morphological analysis of Centaurea nigra and its associated taxa in Hertfordshire","Informa UK Limited","new journal of botany","7","2-3","journal-article","2017-12-22",NA,FALSE,FALSE,NA,NA,0,0,0,0,"0"
"0027-8424","10.1073/pnas.1714945115","10.1073/pnas.1709061115","Preferences for moral vs. immoral traits in others are conditional","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences","115","4","journal-article","2018-01-08","9.504",FALSE,FALSE,NA,NA,97.92,110,1,1,"48"
"1935-2735","10.1371/journal.pntd.0005916","10.1371/journal.pntd.0005842","“Omic” investigations of protozoa and worms for a deeper understanding of the human gut “parasitome”","Public Library of Science (PLoS)","plos neglected tropical diseases","11","11","journal-article","2017-11-02","4.367",TRUE,TRUE,"open (via page says license)","publisher",17.63,17,1,1,"30"
"2057-5858","10.1099/mgen.0.000135","10.1099/mgen.0.000132","Patchy promiscuity: machine learning applied to predict the host specificity of Salmonella enterica and Escherichia coli","Microbiology Society","
microbial genomics","3","10","journal-article","2017-10-03",NA,TRUE,FALSE,"open (via page says license)","publisher",32.15,53,0,0,"6"
"2398-502X","10.12688/wellcomeopenres.13199.1","10.12688/wellcomeopenres.12583.1","Characterisation of innate lymphoid cell populations at different sites in mice with defective T cell immunity","F1000 Research, Ltd.","wellcome open research","2",NA,"journal-article","2017-12-14",NA,TRUE,FALSE,"open (via page says license)","publisher",0.25,1,0,0,"9"
"1367-4803","10.1093/bioinformatics/btx657","10.1093/bioinformatics/btx727","heatmaply: an R package for creating interactive cluster heatmaps for online publishing","Oxford University Press (OUP)","bioinformatics","34","9","journal-article","2017-10-18","5.481",TRUE,FALSE,"open (via page says Open Access)","publisher",125.3,180,2,1,"53"
"2045-2322","10.1038/s41598-018-20163-0","10.1038/s41598-017-18562-w","Edaphic characterization and plant zonation in the Qaidam Basin, Tibetan Plateau","Springer Nature","scientific reports","8","1","journal-article","2018-01-23","4.122",TRUE,TRUE,"open (via page says license)","publisher",0.25,1,0,0,"4"
"1462-2912","10.1111/1462-2920.14042","10.1111/1462-2920.14037","Catabolite repression in Campylobacter jejuni
 correlates with intracellular succinate levels","Wiley","environmental microbiology","20","4","journal-article","2018-01-10","4.974",FALSE,FALSE,NA,NA,0,0,0,0,"0"
"1553-7358","10.1371/journal.pcbi.1005872","10.1371/journal.pcbi.1005990","Assessing an effective undergraduate module teaching applied bioinformatics to biology students","Public Library of Science (PLoS)","plos computational biology","14","1","journal-article","2018-01-11","3.955",TRUE,TRUE,"open (via page says license)","publisher",45.3,79,4,0,"47"
"1932-6203","10.1371/journal.pone.0185447","10.1371/journal.pone.0187308","Association between polymorphisms in sex hormones synthesis and metabolism and prostate cancer aggressiveness","Public Library of Science (PLoS)","plos one","12","10","journal-article","2017-10-05","2.766",TRUE,TRUE,"open (via page says license)","publisher",2.2,3,0,0,"12"
"1297-9686","10.1186/s12711-017-0364-8","10.1186/s12711-017-0368-4","Modeling heterogeneous (co)variances from adjacent-SNP groups improves genomic prediction for milk protein composition traits","Springer Nature","genetics selection evolution","49","1","journal-article","2017-12-05","3.743",TRUE,TRUE,"open (via page says license)","publisher",9.2,13,0,0,"9"
"1367-4803","10.1093/bioinformatics/btx784","10.1093/bioinformatics/btx745","Sequential feature selection and inference using multi-variate random forests","Oxford University Press (OUP)","bioinformatics","34","8","journal-article","2017-12-15","5.481",FALSE,FALSE,NA,NA,2.75,6,0,0,"7"
"2045-2322","10.1038/s41598-017-18418-3","10.1038/s41598-017-19116-w","Past visual experiences weigh in on body size estimation","Springer Nature","scientific reports","8","1","journal-article","2018-01-03","4.122",TRUE,TRUE,"open (via page says license)","publisher",95.662,30,3,3,"28"
"1059-1524","10.1091/mbc.e17-02-0093","10.1091/mbc.e17-07-0461","Coi1 is a novel assembly factor of the yeast complex III–complex IV supercomplex","American Society for Cell Biology (ASCB)","molecular biology of the cell","28","20","journal-article","2017-08-10","3.512",TRUE,FALSE,"open (via free pdf)","publisher",0,0,0,0,"0"
"1367-4803","10.1093/bioinformatics/bty061","10.1093/bioinformatics/bty137","Improving SNP prioritization and pleiotropic architecture estimation by incorporating prior knowledge using graph-GPA","Oxford University Press (OUP)","bioinformatics","34","12","journal-article","2018-02-06","5.481",TRUE,FALSE,"open (via free pdf)","publisher",2.25,5,0,0,"8"
"2041-210X","10.1111/2041-210x.12957","10.1111/2041-210x.12974","Optimizing ensembles of small models for predicting the distribution of species with few occurrences","Wiley","methods in ecology and evolution","9","4","journal-article","2018-01-23","6.363",FALSE,FALSE,NA,NA,7.05,12,2,0,"67"
"2319-7692","10.20546/ijcmas.2017.610.285","10.20546/ijcmas.2017.611.292","Effect of Feeding Gliricidia sepium Leaves from Silvipasture Model of Agroforestry in Degraded Wastelands on Milk Yield and Its Composition in Milch Cows","Excellent Publishers","international journal of current microbiology and applied sciences","6","10","journal-article","2017-10-23",NA,TRUE,FALSE,"open (via free pdf)","publisher",0,0,0,0,"0"
"0950-9232","10.1038/s41388-017-0099-6","10.1038/s41388-017-0115-x","A Carcinogen-induced mouse model recapitulates the molecular alterations of human muscle invasive bladder cancer","Springer Nature America, Inc","oncogene","37","14","journal-article","2018-01-23","6.854",TRUE,FALSE,"open (via page says license)","publisher",20.95,34,0,0,"23"
