"SOURCETITLE","YEAR","IF"
"anaerobe",2014,3.06
"insect molecular biology",2015,3.06
"neuroscience",2012,3.06
"protein science",2013,3.06
"protein and cell",2013,3.06
"circulation research",2018,3.06
"mitochondrion",2017,3.06
"bmc neuroscience",2013,3.06
"journal of applied crystallography",2017,3.06
"trac - trends in analytical chemistry",2018,3.06
"european journal of neuroscience",2016,3.05
"neuroinformatics",2016,3.05
"integrative biology (united kingdom)",2017,3.05
"geobiology",2012,3.05
"protein science",2014,3.04
"beilstein journal of nanotechnology",2014,3.04
"antimicrobial resistance and infection control",2014,3.04
"experimental eye research",2014,3.04
"journal of neurophysiology",2012,3.04
"environmental science and pollution research",2014,3.03
"biology",2015,3.03
"agricultural and forest meteorology",2012,3.03
"journal of computational physics",2015,3.03
"bmc cell biology",2017,3.03
"genetics selection evolution",2016,3.03
"philosophical transactions of the royal society a: mathematical, physical and engineering sciences",2012,3.03
"transboundary and emerging diseases",2017,3.03
"journal of experimental biology",2012,3.02
"neurochemistry international",2013,3.02
"journal of physiology paris",2016,3.02
"frontiers in human neuroscience",2012,3.02
"bmc neuroscience",2014,3.02
"marine pollution bulletin",2013,3.02
"archives of disease in childhood",2017,3.02
"metabolomics",2012,3.02
"neurochemical research",2014,3.02
"cytokine",2014,3.02
"plos one",2016,3.02
"frontiers in bioengineering and biotechnology",2015,3.02
"behavior genetics",2014,3.02
"behavior genetics",2013,3.02
"biogerontology",2013,3.02
"journal of phycology",2017,3.01
"chemmedchem",2017,3.01
"biological psychiatry",2018,3.01
"phytochemistry",2015,3.01
"organic geochemistry",2017,3.01
"marine environmental research",2014,3.01
"consciousness and cognition",2013,3.01
"brain connectivity",2016,3.01
"biochemical society transactions",2016,3.01
"g3: genes, genomes, genetics",2015,3.01
"prenatal diagnosis",2015,3
"journal of general virology",2016,3
"biological invasions",2013,3
"colloids and surfaces a: physicochemical and engineering aspects",2014,3
"biochemistry",2017,3
"cytometry part a",2014,3
"journal of chemical ecology",2014,3
"phytopathology",2017,3
"colloids and surfaces a: physicochemical and engineering aspects",2015,3
"processes",2016,3
"oecologia",2015,3
"plant cell, tissue and organ culture",2013,3
"cytometry part a",2015,3
"journal of computational physics",2014,3
"bmc infectious diseases",2012,2.99
"biochemistry",2016,2.99
"oikos",2012,2.99
"journal of thoracic oncology",2018,2.99
"phytopathology",2015,2.99
"bmc cell biology",2015,2.99
"journal of structural biology",2015,2.99
"journal of orthopaedic research",2017,2.99
"psychophysiology",2017,2.99
"archives of disease in childhood",2016,2.99
"biological psychology",2012,2.99
"nicotine and tobacco research",2013,2.99
"frontiers in molecular neuroscience",2013,2.98
"behavior research methods",2016,2.98
"placenta",2012,2.98
"behavior research methods",2013,2.98
"toxicology letters",2012,2.98
"biochemical society transactions",2015,2.98
"journal of biological rhythms",2014,2.98
"g3: genes, genomes, genetics",2014,2.98
"behavioral neuroscience",2014,2.98
"journal of insect physiology",2013,2.98
"cytometry part a",2017,2.98
"bmc systems biology",2014,2.98
"sensors (switzerland)",2017,2.98
"pediatric nephrology",2012,2.98
"journal of cystic fibrosis",2012,2.98
"cancer chemotherapy and pharmacology",2016,2.98
"photosynthesis research",2017,2.98
"physiological genomics",2015,2.97
"rsc advances",2017,2.97
"methods",2012,2.97
"bmc cell biology",2013,2.97
"archives of disease in childhood",2012,2.97
"bmj open",2015,2.97
"biomaterials",2018,2.97
"coral reefs",2013,2.97
"malaria journal",2017,2.97
"genesis",2017,2.97
"world journal of gastroenterology",2014,2.97
"chemometrics and intelligent laboratory systems",2017,2.97
"ecological indicators",2012,2.96
"behavior research methods",2015,2.96
"pharmacology biochemistry and behavior",2015,2.96
"bmc developmental biology",2013,2.96
"genes and cancer",2017,2.96
"genomics",2016,2.96
"glycobiology",2016,2.96
"clinical neurophysiology",2012,2.96
"scientometrics",2013,2.96
"journal of physics d: applied physics",2014,2.96
"archives of disease in childhood",2014,2.95
"journal of chemical neuroanatomy",2012,2.95
"cancer chemotherapy and pharmacology",2017,2.95
"bioinspiration and biomimetics",2016,2.95
"immunogenetics",2012,2.95
"genetic epidemiology",2012,2.95
"bmc bioinformatics",2015,2.95
"anaerobe",2017,2.95
"journal of evolutionary biology",2015,2.94
"international journal of developmental biology",2013,2.94
"immunogenetics",2013,2.94
"frontiers in genetics",2013,2.94
"biological invasions",2014,2.94
"gut pathogens",2016,2.94
"bmc infectious diseases",2016,2.94
"colloids and surfaces a: physicochemical and engineering aspects",2017,2.94
"zoological journal of the linnean society",2014,2.94
"bioinspiration and biomimetics",2012,2.94
"embo molecular medicine",2018,2.93
"journal of human genetics",2013,2.93
"microbiological research",2015,2.93
"journal of autism and developmental disorders",2012,2.93
"insect molecular biology",2012,2.93
"genomics",2012,2.93
"ieee transactions on visualization and computer graphics",2012,2.93
"learning and memory",2016,2.93
"journal of experimental medicine",2018,2.93
"transboundary and emerging diseases",2013,2.93
"world journal of gastroenterology",2013,2.93
"phytochemistry",2014,2.93
"journal of orthopaedic research",2012,2.93
"biochimica et biophysica acta - proteins and proteomics",2016,2.93
"biostatistics",2014,2.93
"plant methods",2013,2.92
"american journal of infection control",2013,2.92
"bmc evolutionary biology",2012,2.92
"seminars in thrombosis and hemostasis",2012,2.92
"rna biology",2012,2.92
"european psychiatry",2013,2.92
"proteins: structure, function and bioinformatics",2012,2.92
"journal of computer-aided molecular design",2012,2.92
"bmc biotechnology",2013,2.92
"sensors (switzerland)",2015,2.91
"colloids and surfaces a: physicochemical and engineering aspects",2016,2.91
"developmental biology",2016,2.91
"intelligence",2017,2.91
"american journal of medical genetics, part b: neuropsychiatric genetics",2017,2.91
"tuberculosis",2016,2.91
"neuropsychologia",2017,2.91
"photosynthesis research",2013,2.91
"phytopathology",2016,2.91
"journal of clinical virology",2015,2.91
"journal of biotechnology",2015,2.91
"brain connectivity",2012,2.9
"genomics",2017,2.9
"bmc ecology",2013,2.9
"memorias do instituto oswaldo cruz",2016,2.9
"cell calcium",2015,2.9
"brain research",2016,2.9
"psychonomic bulletin and review",2015,2.9
"journal of chemical physics",2014,2.9
"frontiers in computational neuroscience",2015,2.9
"proteomics - clinical applications",2013,2.9
"placenta",2014,2.9
"neurochemical research",2013,2.9
"toxins",2013,2.9
"deep-sea research part i: oceanographic research papers",2012,2.9
"psychonomic bulletin and review",2012,2.89
"pediatric blood and cancer",2015,2.89
"calcified tissue international",2016,2.89
"zoological journal of the linnean society",2013,2.89
"environmental microbiology reports",2017,2.89
"cytometry part a",2016,2.89
"plos currents",2014,2.89
"genes to cells",2015,2.89
"international journal for parasitology: drugs and drug resistance",2013,2.89
"journal of physics d: applied physics",2015,2.89
"placenta",2016,2.89
"journal of ethnopharmacology",2012,2.88
"bmc microbiology",2017,2.88
"trends in genetics",2018,2.88
"chemometrics and intelligent laboratory systems",2014,2.88
"journal of human evolution",2012,2.88
"bmc medical genetics",2013,2.88
"tree genetics and genomes",2014,2.88
"journal of human genetics",2015,2.88
"zoological journal of the linnean society",2016,2.88
"journal of phycology",2015,2.88
"animal behaviour",2017,2.88
"bioinformatics and biology insights",2015,2.88
"electrophoresis",2012,2.88
"plos one",2017,2.88
"cell cycle",2017,2.88
"bmc biotechnology",2017,2.88
"annals of clinical and translational neurology",2015,2.87
"brain research bulletin",2015,2.87
"european psychiatry",2014,2.87
"american journal of botany",2014,2.87
"frontiers in psychology",2012,2.87
"frontiers in ecology and the environment",2018,2.87
"insect molecular biology",2016,2.87
"viruses",2012,2.87
"steroids",2013,2.87
"microbiological research",2014,2.87
"journal of histochemistry and cytochemistry",2017,2.87
"journal of human genetics",2014,2.87
"prenatal diagnosis",2013,2.87
"bmc evolutionary biology",2017,2.87
"chembiochem",2016,2.87
"journal of neuroscience methods",2017,2.87
"mutation research - fundamental and molecular mechanisms of mutagenesis",2015,2.87
"journal of histochemistry and cytochemistry",2013,2.87
"molecular biosystems",2017,2.86
"cognitive, affective and behavioral neuroscience",2015,2.86
"journal of mass spectrometry",2012,2.86
"electrophoresis",2016,2.86
"coral reefs",2014,2.86
"oecologia",2012,2.86
"malaria journal",2016,2.86
"biological psychology",2017,2.86
"toxicon",2012,2.86
"memorias do instituto oswaldo cruz",2017,2.86
"molecular biosystems",2016,2.86
"journal of neurophysiology",2015,2.86
"bmc public health",2013,2.86
"cbe life sciences education",2017,2.85
"cell research",2018,2.85
"neural computation",2012,2.85
"biochimica et biophysica acta - proteins and proteomics",2012,2.85
"beilstein journal of nanotechnology",2015,2.85
"bmc developmental biology",2014,2.85
"toxicon",2013,2.85
"virus research",2012,2.84
"journal of chemical neuroanatomy",2013,2.84
"neurochemical research",2016,2.84
"journal of structural biology",2016,2.84
"sensors (switzerland)",2014,2.84
"psychonomic bulletin and review",2017,2.84
"isme journal",2018,2.84
"bmc bioinformatics",2012,2.84
"behavioral neuroscience",2015,2.84
"microbiology spectrum",2016,2.84
"journal of human genetics",2017,2.84
"infection, genetics and evolution",2015,2.84
"genetic epidemiology",2015,2.84
"journal of chemical physics",2016,2.83
"biology letters",2015,2.83
"ecosystems",2012,2.83
"behavioral ecology and sociobiology",2012,2.83
"journal of complex networks",2014,2.83
"ieee transactions on biomedical engineering",2012,2.83
"journal of molecular liquids",2015,2.83
"bmc microbiology",2016,2.83
"bmc ecology",2015,2.83
"anaerobe",2013,2.82
"human pathology",2012,2.82
"scientific reports",2012,2.82
"gut pathogens",2017,2.82
"methods and applications in fluorescence",2014,2.82
"bmc genetics",2014,2.82
"journal of biological rhythms",2012,2.82
"genesis",2012,2.82
"embo journal",2018,2.82
"progress in biophysics and molecular biology",2014,2.82
"bmj open",2014,2.82
"frontiers in zoology",2016,2.82
"insect molecular biology",2014,2.82
"marine ecology progress series",2014,2.82
"philosophical transactions of the royal society a: mathematical, physical and engineering sciences",2016,2.81
"brain and cognition",2014,2.81
"mammalian genome",2016,2.81
"journal of biotechnology",2016,2.81
"phytopathology",2013,2.81
"general and comparative endocrinology",2013,2.81
"molecular systems biology",2018,2.81
"environmental science and pollution research",2017,2.81
"anaerobe",2015,2.81
"journal of phycology",2014,2.81
"tuberculosis",2015,2.8
"mobile dna",2012,2.8
"alcoholism: clinical and experimental research",2016,2.8
"american journal of physical anthropology",2017,2.8
"steroids",2016,2.8
"international journal of infectious diseases",2012,2.8
"bmc systems biology",2012,2.8
"journal of orthopaedic research",2016,2.8
"bmc microbiology",2012,2.8
"pediatric blood and cancer",2013,2.8
"fems yeast research",2014,2.8
"drug safety",2012,2.79
"journal of applied crystallography",2012,2.79
"bmc microbiology",2015,2.79
"scientometrics",2014,2.79
"chemometrics and intelligent laboratory systems",2013,2.79
"behavior research methods",2017,2.79
"movement ecology",2016,2.79
"ecology and evolution",2015,2.79
"social neuroscience",2012,2.79
"environmental science and pollution research",2016,2.79
"journal of insect physiology",2017,2.78
"protoplasma",2012,2.78
"bmc ecology",2016,2.78
"general and comparative endocrinology",2014,2.78
"european journal of neuroscience",2017,2.78
"chemical science",2018,2.78
"journal of neuroscience methods",2016,2.78
"clinical and experimental medicine",2013,2.78
"journal of physiology paris",2013,2.78
"frontiers in marine science",2017,2.78
"journal of chemical physics",2012,2.78
"biological invasions",2015,2.78
"deep-sea research part i: oceanographic research papers",2014,2.78
"coral reefs",2012,2.78
"brain and language",2017,2.78
"brain and cognition",2015,2.78
"biotechniques",2013,2.77
"fungal biology",2014,2.77
"neurochemical research",2017,2.77
"marine ecology progress series",2013,2.77
"alzheimer's and dementia: diagnosis, assessment and disease monitoring",2016,2.77
"journal of microscopy",2014,2.76
"brain topography",2013,2.76
"general and comparative endocrinology",2015,2.76
"brain topography",2012,2.76
"restoration ecology",2017,2.76
"pflugers archiv european journal of physiology",2017,2.76
"frontiers in human neuroscience",2017,2.76
"global change biology",2018,2.76
"steroids",2015,2.76
"coral reefs",2017,2.76
"epidemics",2015,2.75
"evodevo",2016,2.75
"molecular syndromology",2014,2.75
"chembiochem",2017,2.75
"antibiotics",2017,2.75
"oral oncology",2012,2.75
"journal of the royal statistical society. series b: statistical methodology",2017,2.75
"behavior genetics",2015,2.75
"international journal of molecular sciences",2013,2.75
"annals of oncology",2018,2.75
"frontiers in earth science",2017,2.75
"neurophotonics",2015,2.75
"mechanisms of development",2014,2.75
"neurochemistry international",2012,2.74
"frontiers in pharmacology",2012,2.74
"cpt: pharmacometrics and systems pharmacology",2014,2.74
"virus research",2016,2.74
"american journal of botany",2013,2.74
"virus research",2015,2.74
"science of the total environment",2012,2.74
"deep-sea research part i: oceanographic research papers",2016,2.74
"mobile dna",2015,2.74
"chemometrics and intelligent laboratory systems",2012,2.74
"frontiers in psychology",2013,2.74
"gut pathogens",2014,2.74
"learning and memory",2017,2.73
"brain research",2015,2.73
"pediatric nephrology",2015,2.73
"toxicon",2014,2.73
"pediatric blood and cancer",2014,2.73
"neuroinformatics",2014,2.73
"epidemics",2013,2.73
"computer graphics forum",2015,2.73
"bmc public health",2014,2.73
"acta crystallographica section d: structural biology",2017,2.72
"anaerobe",2016,2.72
"taxon",2013,2.72
"brain research",2012,2.72
"international journal of infectious diseases",2016,2.72
"animal behaviour",2016,2.72
"prenatal diagnosis",2017,2.72
"medical oncology",2015,2.71
"current opinion in insect science",2015,2.71
"taxon",2014,2.71
"pharmacology biochemistry and behavior",2017,2.71
"molecular breeding",2016,2.71
"evolutionary biology",2014,2.71
"coral reefs",2015,2.71
"proteomics - clinical applications",2012,2.71
"computer graphics forum",2014,2.71
"environmental science and pollution research",2015,2.71
"g3: genes, genomes, genetics",2017,2.7
"bmc molecular biology",2017,2.7
"journal of physics d: applied physics",2013,2.7
"genomics, proteomics and bioinformatics",2015,2.7
"proteins: structure, function and bioinformatics",2014,2.7
"behavioral ecology",2012,2.7
"biological invasions",2016,2.7
"ieee transactions on nanobioscience",2015,2.7
"bmc cell biology",2014,2.7
"journal of neural engineering",2012,2.7
"neuroinformatics",2015,2.7
"cognitive, affective and behavioral neuroscience",2012,2.69
"journal of biomedical semantics",2016,2.69
"biomedical microdevices",2015,2.69
"physiological genomics",2014,2.69
"microfluidics and nanofluidics",2014,2.69
"physiology and behavior",2015,2.69
"tree genetics and genomes",2013,2.69
"psychiatry research - neuroimaging",2016,2.69
"cancer chemotherapy and pharmacology",2012,2.69
"cytokine",2012,2.69
"behavior genetics",2012,2.68
"protein science",2012,2.68
"psychophysiology",2016,2.68
"bmc infectious diseases",2017,2.68
"mammalian genome",2017,2.68
"g3: genes, genomes, genetics",2013,2.68
"american journal of infection control",2014,2.68
"proteins: structure, function and bioinformatics",2015,2.68
"journal of biological engineering",2013,2.68
"journal of phycology",2013,2.68
"journal of chemical physics",2015,2.68
"animal behaviour",2012,2.68
"molecular breeding",2013,2.68
"pediatric blood and cancer",2017,2.67
"parasitology",2015,2.67
"g3: genes, genomes, genetics",2016,2.67
"statistical science",2015,2.67
"chemometrics and intelligent laboratory systems",2015,2.67
"environmental science and pollution research",2013,2.67
"physical biology",2014,2.67
"journal of insect physiology",2014,2.67
"bmc molecular biology",2015,2.67
"virology journal",2015,2.67
"bmc systems biology",2015,2.67
"journal of personalized medicine",2016,2.67
"bmc public health",2015,2.67
"general and comparative endocrinology",2016,2.67
"zebrafish",2015,2.67
"physiological genomics",2017,2.67
"pharmacology biochemistry and behavior",2012,2.67
"fungal biology",2017,2.66
"frontiers in cellular neuroscience",2012,2.66
"parasitology",2014,2.66
"psychonomic bulletin and review",2016,2.66
"journal of theoretical biology",2013,2.66
"tuberculosis",2014,2.66
"genes and immunity",2016,2.66
"medchemcomm",2016,2.66
"molecular breeding",2014,2.66
"american journal of physical anthropology",2013,2.66
"archives of virology",2014,2.66
"journal of molecular liquids",2014,2.66
"journal of evolutionary biology",2016,2.66
"brain and language",2016,2.66
"journal of histochemistry and cytochemistry",2016,2.66
"current opinion in virology",2012,2.66
"biochimica et biophysica acta - proteins and proteomics",2017,2.66
"protein and cell",2012,2.66
"extremophiles",2014,2.66
"biodata mining",2014,2.65
"forensic science international",2014,2.65
"journal of agricultural and food chemistry",2012,2.65
"plant cell, tissue and organ culture",2014,2.65
"physical biology",2012,2.65
"american journal of physical anthropology",2016,2.65
"protoplasma",2016,2.65
"medchemcomm",2013,2.64
"plant methods",2012,2.64
"international journal of infectious diseases",2013,2.64
"evolutionary ecology",2014,2.64
"biology direct",2017,2.64
"biophysical chemistry",2015,2.64
"steroids",2014,2.64
"zoological journal of the linnean society",2015,2.64
"development genes and evolution",2014,2.64
"tuberculosis",2012,2.64
"tuberculosis",2017,2.64
"the new phytologist",2018,2.63
"steroids",2012,2.63
"rsc advances",2012,2.63
"chemmedchem",2012,2.63
"epidemiology and infection",2013,2.63
"philosophical transactions of the royal society a: mathematical, physical and engineering sciences",2017,2.63
"computer graphics forum",2013,2.63
"biochemical and biophysical research communications",2015,2.63
"biochemical and biophysical research communications",2017,2.63
"infection, genetics and evolution",2017,2.62
"brain and behavior",2014,2.62
"experimental eye research",2012,2.62
"journal of applied crystallography",2015,2.62
"phytopathology",2012,2.62
"gene",2015,2.62
"journal of biotechnology",2017,2.62
"bmc genetics",2017,2.62
"ecosphere",2017,2.62
"methods and applications in fluorescence",2015,2.62
"genes and immunity",2015,2.62
"neural computation",2014,2.62
"ecological modelling",2013,2.62
"cognitive, affective and behavioral neuroscience",2017,2.62
"electrophoresis",2015,2.62
"scientometrics",2017,2.62
"vision research",2012,2.61
"brain and cognition",2016,2.61
"open forum infectious diseases",2017,2.61
"journal of chemical physics",2017,2.61
"gene",2016,2.61
"journal of pharmacy and pharmacology",2015,2.61
"american journal of human genetics",2018,2.61
"bmj open",2016,2.61
"social neuroscience",2017,2.61
"current genetics",2014,2.61
"biochemical and biophysical research communications",2016,2.61
"royal society open science",2017,2.61
"infection, genetics and evolution",2012,2.61
"ecology and evolution",2016,2.61
"international journal of infectious diseases",2015,2.61
"vision research",2013,2.61
"mammalian genome",2012,2.61
"epidemiology and infection",2014,2.6
"genome research",2018,2.6
"social neuroscience",2016,2.6
"ecological modelling",2017,2.6
"toxicon",2015,2.6
"biological journal of the linnean society",2013,2.6
"electrophoresis",2017,2.6
"biology open",2014,2.6
"journal of pharmacy and pharmacology",2014,2.6
"genomics",2014,2.6
"genomics",2015,2.6
"environmental microbiology reports",2012,2.6
"auk",2013,2.6
"environmental science and pollution research",2012,2.6
"biodata mining",2013,2.6
"american journal of botany",2017,2.6
"protein science",2016,2.59
"beilstein journal of nanotechnology",2013,2.59
"bmc genetics",2013,2.59
"database",2016,2.59
"ecological modelling",2014,2.59
"environmental and experimental botany",2012,2.59
"medchemcomm",2012,2.59
"journal of personalized medicine",2017,2.58
"prenatal diagnosis",2016,2.58
"european journal of forest research",2014,2.58
"virology journal",2014,2.58
"bmc biotechnology",2016,2.58
"molecular breeding",2012,2.58
"journal of histochemistry and cytochemistry",2014,2.58
"algorithms for molecular biology",2013,2.58
"journal of theoretical biology",2012,2.58
"virology journal",2017,2.58
"cbe life sciences education",2015,2.58
"microbiology (united kingdom)",2014,2.57
"genetic epidemiology",2017,2.57
"philosophical transactions of the royal society a: mathematical, physical and engineering sciences",2015,2.57
"current opinion in biotechnology",2018,2.57
"environmental health: a global access science source",2012,2.57
"biochemical and biophysical research communications",2013,2.57
"acta crystallographica section d: biological crystallography",2016,2.57
"plant cell",2018,2.57
"frontiers in zoology",2012,2.57
"bmc developmental biology",2012,2.57
"journal of mathematical biology",2012,2.57
"chemometrics and intelligent laboratory systems",2016,2.57
"steroids",2017,2.57
"biomed research international",2016,2.57
"biochemical and biophysical research communications",2014,2.56
"consciousness and cognition",2015,2.56
"medchemcomm",2014,2.56
"brain and cognition",2017,2.56
"genomics, proteomics and bioinformatics",2014,2.56
"journal of physiology paris",2015,2.56
"european psychiatry",2012,2.56
"neuro-oncology",2018,2.56
"deep-sea research part i: oceanographic research papers",2017,2.56
"journal of phycology",2016,2.56
"ecosphere",2012,2.56
"biotechniques",2014,2.56
"colloids and surfaces a: physicochemical and engineering aspects",2013,2.56
"gene",2017,2.55
"journal of general virology",2017,2.55
"field crops research",2012,2.55
"microfluidics and nanofluidics",2016,2.55
"methods and applications in fluorescence",2016,2.55
"fems yeast research",2013,2.55
"frontiers in computational neuroscience",2014,2.55
"brain research bulletin",2012,2.55
"estuarine, coastal and shelf science",2015,2.55
"extremophiles",2013,2.55
"entropy",2017,2.55
"bmc medical genetics",2014,2.54
"behavioral neuroscience",2016,2.54
"estuarine, coastal and shelf science",2017,2.54
"physiology and behavior",2017,2.54
"proceedings of the national academy of sciences of the united states of america",2018,2.54
"frontiers in zoology",2013,2.54
"journal of pharmacy and pharmacology",2013,2.54
"cancer medicine",2014,2.54
"frontiers in psychology",2014,2.54
"journal of vision",2013,2.54
"behavioral neuroscience",2012,2.54
"american journal of botany",2012,2.54
"industrial crops and products",2012,2.53
"transboundary and emerging diseases",2014,2.53
"genome medicine",2018,2.53
"ecology and evolution",2014,2.53
"extremophiles",2015,2.53
"zoological journal of the linnean society",2017,2.53
"journal of chemical ecology",2013,2.53
"general and comparative endocrinology",2017,2.53
"journal of experimental zoology part b: molecular and developmental evolution",2016,2.53
"neurochemical research",2015,2.53
"ecological modelling",2015,2.53
"bmc cell biology",2016,2.53
"international journal of developmental biology",2012,2.53
"biological control",2016,2.52
"journal of mass spectrometry",2014,2.52
"medchemcomm",2015,2.52
"hydrobiologia",2014,2.52
"mutation research - fundamental and molecular mechanisms of mutagenesis",2017,2.52
"virus research",2014,2.52
"physiology and behavior",2016,2.52
"consciousness and cognition",2014,2.51
"antimicrobial resistance and infection control",2015,2.51
"psychiatry research - neuroimaging",2017,2.51
"bmc biotechnology",2015,2.51
"bmc developmental biology",2017,2.51
"biophysical chemistry",2016,2.51
"bmj open",2017,2.51
"virology journal",2013,2.5
"biostatistics",2013,2.5
"archives of virology",2013,2.5
"ecosphere",2016,2.5
"environmental science: processes and impacts",2016,2.5
"ieee transactions on nanobioscience",2013,2.5
"brain and behavior",2015,2.5
"european journal of forest research",2017,2.5
"bioinformatics and biology insights",2017,2.5
"journal of neurophysiology",2017,2.5
"plos medicine",2018,2.5
"ecological processes",2013,2.5
"journal of extracellular vesicles",2018,2.49
"philosophical transactions of the royal society a: mathematical, physical and engineering sciences",2014,2.49
"bioinspiration and biomimetics",2017,2.49
"tree genetics and genomes",2015,2.49
"molecular syndromology",2015,2.49
"frontiers in neuroinformatics",2013,2.49
"behavioral neuroscience",2017,2.49
"insect molecular biology",2017,2.49
"g3: genes, genomes, genetics",2012,2.49
"immunogenetics",2015,2.49
"micromachines",2012,2.48
"physical review e - statistical, nonlinear, and soft matter physics",2013,2.48
"bmc developmental biology",2015,2.48
"fungal biology",2015,2.48
"royal society open science",2016,2.48
"protoplasma",2017,2.48
"basic and applied ecology",2013,2.48
"microfluidics and nanofluidics",2015,2.48
"consciousness and cognition",2017,2.48
"immunogenetics",2014,2.48
"journal of pharmacy and pharmacology",2016,2.48
"canadian journal of fisheries and aquatic sciences",2014,2.48
"consciousness and cognition",2012,2.48
"metabolites",2015,2.48
"journal of evolutionary biology",2017,2.47
"bmj (online)",2018,2.47
"marine ecology progress series",2015,2.47
"journal of human genetics",2016,2.47
"clinical and experimental medicine",2015,2.47
"journal of biological engineering",2012,2.47
"cancer immunology research",2018,2.47
"bmc neuroscience",2015,2.47
"frontiers in computational neuroscience",2012,2.47
"journal of bioenergetics and biomembranes",2013,2.47
"journal of physiology paris",2014,2.47
"american journal of physical anthropology",2015,2.47
"behavioral ecology and sociobiology",2017,2.47
"brain topography",2017,2.47
"pediatric nephrology",2016,2.46
"bmc cell biology",2012,2.46
"bmj open",2013,2.46
"integrative biology (united kingdom)",2013,2.46
"frontiers in psychology",2016,2.46
"estuarine, coastal and shelf science",2016,2.46
"marine environmental research",2013,2.46
"journal of neuroscience methods",2015,2.46
"frontiers in earth science",2016,2.46
"development genes and evolution",2013,2.46
"journal of applied crystallography",2016,2.46
"ecosphere",2015,2.46
"frontiers in computational neuroscience",2013,2.46
"virus research",2017,2.45
"mechanisms of development",2012,2.45
"extremophiles",2016,2.45
"canadian journal of fisheries and aquatic sciences",2016,2.45
"scientometrics",2012,2.45
"neuroscience and biobehavioral reviews",2018,2.45
"pediatric blood and cancer",2012,2.45
"epidemiology and infection",2015,2.45
"twin research and human genetics",2014,2.45
"journal of allergy and clinical immunology",2018,2.45
"annals of human genetics",2014,2.45
"behavioral ecology and sociobiology",2015,2.44
"yeast",2017,2.44
"fungal biology",2013,2.44
"parasitology",2013,2.44
"journal of mass spectrometry",2015,2.44
"journal of microscopy",2013,2.44
"clinical and experimental medicine",2014,2.44
"forensic science international",2013,2.44
"journal of computational neuroscience",2013,2.44
"febs open bio",2016,2.44
"gene",2014,2.44
"ieee/acm transactions on computational biology and bioinformatics",2013,2.43
"journal of theoretical biology",2014,2.43
"scientometrics",2015,2.43
"genes and immunity",2017,2.43
"cbe life sciences education",2014,2.43
"pediatric blood and cancer",2016,2.43
"journal of physics d: applied physics",2016,2.43
"estuarine, coastal and shelf science",2013,2.43
"bmc bioinformatics",2016,2.43
"journal of insect physiology",2015,2.43
"physical review e - statistical, nonlinear, and soft matter physics",2014,2.43
"genesis",2015,2.43
"protein science",2017,2.42
"ecological complexity",2013,2.42
"microfluidics and nanofluidics",2017,2.42
"bmc ecology",2014,2.42
"journal of experimental zoology part b: molecular and developmental evolution",2014,2.42
"marine and freshwater research",2013,2.42
"biophysical chemistry",2013,2.42
"biological journal of the linnean society",2014,2.42
"ecological modelling",2016,2.42
"molecular breeding",2015,2.42
"parasitology",2016,2.42
"frontiers in marine science",2015,2.42
"bmc neuroscience",2012,2.42
"journal of microscopy",2015,2.41
"current cardiology reports",2014,2.41
"journal of neurophysiology",2016,2.41
"journal of computer-aided molecular design",2017,2.41
"journal of biomedical semantics",2015,2.41
"zebrafish",2016,2.41
"journal of molecular evolution",2016,2.41
"animal genetics",2014,2.41
"journal of responsible innovation",2016,2.41
"bmc medical genetics",2015,2.41
"biomed research international",2017,2.41
"journal of microbiological methods",2014,2.41
"stem cell research and therapy",2012,2.41
"peerj",2014,2.41
"genetics in medicine",2018,2.41
"journal of bioenergetics and biomembranes",2017,2.41
"developmental cell",2018,2.41
"ecology and evolution",2017,2.4
"scientometrics",2016,2.4
"medical oncology",2013,2.4
"toxicology research",2015,2.4
"journal of neuroscience methods",2014,2.4
"pedobiologia",2017,2.4
"mobile dna",2014,2.4
"peerj",2015,2.39
"physica a: statistical mechanics and its applications",2016,2.39
"human immunology",2013,2.39
"journal of microbiological methods",2013,2.39
"frontiers in neurorobotics",2015,2.39
"physical review letters",2018,2.39
"journal of mass spectrometry",2016,2.39
"journal of neuroscience methods",2013,2.39
"journal of chemical and engineering data",2016,2.38
"journal of histochemistry and cytochemistry",2015,2.38
"protoplasma",2015,2.38
"marine ecology progress series",2017,2.38
"journal of comparative psychology",2015,2.38
"biological invasions",2012,2.38
"toxicon",2017,2.38
"genesis",2016,2.38
"plos currents",2016,2.38
"febs open bio",2015,2.38
"bmc neuroscience",2016,2.38
"medchemcomm",2017,2.38
"journal of histochemistry and cytochemistry",2012,2.38
"journal of computational biology",2014,2.38
"biomed research international",2015,2.38
"epidemiology and infection",2012,2.38
"bmc public health",2016,2.38
"emerging microbes and infections",2014,2.37
"pediatric nephrology",2017,2.37
"journal of pharmacy and pharmacology",2017,2.37
"virology journal",2016,2.37
"biologically inspired cognitive architectures",2013,2.37
"current cardiology reports",2013,2.37
"metabolic engineering",2018,2.37
"redox biology",2018,2.37
"journal of thermal biology",2016,2.37
"computer graphics forum",2016,2.36
"american journal of medical genetics, part a",2014,2.36
"bmc ecology",2017,2.36
"fems yeast research",2015,2.36
"gut pathogens",2013,2.36
"beilstein journal of nanotechnology",2012,2.36
"international journal of primatology",2013,2.36
"estuarine, coastal and shelf science",2014,2.36
