"PREPRINT_DOI","ARTICLE_DOI","COUNTRYCODE","INSTITUTION_FULL"
"10.1101/024653","10.3389/fncom.2016.00049","NLD","Leiden Academic Center for Drug Research, Division of Toxicology"
"10.1101/024653","10.3389/fncom.2016.00049","NLD","University of Twente, MIRA Institute for Technical Medicine and Biomedical Technology, Applied Analysis"
"10.1101/024703","10.1016/j.bpj.2015.12.018","USA","University of Michigan, Department of Molecular and Integrative Physiology"
"10.1101/024737","10.1016/j.jtbi.2017.04.021","NZL","University of Auckland, Auckland Bioengineering Institute"
"10.1101/024745","10.1007/s40264-016-0392-2","USA","New York University School of Medicine, Division of Clinical Pharmacology, Department of Medicine"
"10.1101/024778","10.1128/mbio.02214-15","USA","Michigan State University, Soil and Microbial Sciences, Department of Plant"
"10.1101/024778","10.1128/mbio.02214-15","USA","Michigan State University, Center for Microbial Ecology"
"10.1101/024778","10.1128/mbio.02214-15","USA","U.S. Department of Agriculture, Agricultural Research Service, National Animal Disease Center"
"10.1101/024810","10.1371/journal.pcbi.1004832","DEU","Johann Wolfgang Goethe-University, Biologicum, Institute for Cell Biology and Neuroscience"
"10.1101/024828","10.1016/j.bbmt.2015.12.006","DEU","Hannover Medical School, Institute of Pathology"
"10.1101/024851","10.1093/molbev/msv349","AUS","Monash University, School of Biological Sciences"
"10.1101/024869","10.1534/genetics.115.180471","USA","Indiana University, Department of Biology"
"10.1101/024877","10.3389/fgene.2015.00332","USA","School of Veterinary Medicine, University of Pennsylvania, Department of Pathobiology"
"10.1101/024893","10.1016/j.cpb.2016.11.001","IND","University of Delhi South Campus, Department of Plant Molecular Biology"
"10.1101/024919","10.1016/j.cels.2016.01.001","GBR","Institute of Cancer Research, Division of Cancer Biology"
"10.1101/024927","10.1371/journal.pgen.1005664","USA","University of Rochester, Department of Biology"
"10.1101/024950","10.1111/mec.13733",NA,"UMR 6282 Biogeosciences, CNRS/Univ. Bourgogne Franche-Comte, Equipe BIOME, 6 bd Gabriel, 21000, Dijon, France"
"10.1101/024976","10.1186/s13100-016-0059-7","CHN","Yangzhou University, College of Animal Science and Technology, Institute of Epigenetics and Epigenomics"
"10.1101/024992","10.1111/2041-210x.12505","CAN","University of Quebec at Montreal, Department of Biology Science, Ecological Modeling and Carbon Science"
"10.1101/025007","10.1111/eva.12362","DEU","GEOMAR Helmholtz-Centre for Ocean Research Kiel, Evolutionary Ecology of Marine Fishes"
"10.1101/025015","10.1534/g3.115.021543","JPN","Niigata University, Institute of Science and Technology"
"10.1101/025023","10.1111/mpp.12317","CHN","Ministry of Education, Key Laboratory of Integrated Management of Crop Diseases and Pests"
"10.1101/025023","10.1111/mpp.12317","CHN","Nanjing Agricultural University, College of Plant Protection, Department of Plant Pathology"
"10.1101/025056","10.1021/acssynbio.5b00257","DNK","Technical University of Denmark, Novo Nordisk Foundation Center for Biosustainability"
"10.1101/025098","10.1186/s13073-016-0310-3","FRA","University of Strasbourg, Institut National de la Sante et de la Recherche Medicale U964, Centre National de la Recherche Scientifique UMR 7104"
"10.1101/025189","10.1093/jee/tov312","JPN","Osaka Prefecture University, Graduate School of Life and Environmental Sciences"
"10.1101/025205","10.1534/g3.115.023010","USA","University of Florida, Department of Biology"
"10.1101/025221","10.1186/s13059-015-0801-3","DNK","Interdisciplinary Nanoscience Center (iNANO), Department of Molecular Biology and Genetics, Aarhus University"
"10.1101/025239","10.1093/nar/gkv1500","USA","National Institutes of Health, National Cancer Institute, Center for Cancer Research"
"10.1101/025262","10.1515/sagmb-2015-0037","USA","Augusta University, Department of Biostatistics and Epidemiology"
"10.1101/025262","10.1515/sagmb-2015-0037","USA","Northern Illinois University, Division of Statistics"
"10.1101/025288","10.1371/journal.pgen.1005888","FRA","Institut Curie, Service de Genetique"
"10.1101/025338","10.1371/journal.pntd.0004271","GBR","University of Kent, School of Biosciences, Centre for Molecular Processing"
"10.1101/025353","10.1093/sysbio/syx030","NZL","University of Otago, Department of Mathematics and Statistics, Computational Modeling"
"10.1101/025361","10.1111/nph.14031",NA,"Division of Applied Life Science (BK21 + program), PMBBRC, Gyeongsang National University, 501 Jinju-daero, Jinju, 52828, Korea"
"10.1101/025379","10.1186/s12864-015-2320-8","USA","Department of Microbiology and Immunology, Columbia University Medical Center"
"10.1101/025379","10.1186/s12864-015-2320-8","GBR","Wellcome Trust Sanger Institute"
"10.1101/025387","10.1186/s13059-016-0884-5","SWE","Department of Biosciences and Nutrition, Karolinska Institute"
"10.1101/025437","10.1093/bioinformatics/btw096","GBR","Wellcome Trust Genome Campus, Congenica Ltd"
"10.1101/025437","10.1093/bioinformatics/btw096","GBR","Wellcome Trust Genome Campus, European Bioinformatics Institute EMBL-EBI, European Molecular Biology Laboratory"
"10.1101/025494","10.1007/s00265-016-2141-z","USA","Arizona State University, School of Life Sciences"
"10.1101/025494","10.1007/s00265-016-2141-z","USA","Desert Botanical Garden"
"10.1101/025502","10.1016/j.tpb.2015.08.003","USA","Texas A and M University, Department of Mathematics"
"10.1101/025502","10.1016/j.tpb.2015.08.003","USA","The University of North Carolina at Greensboro, Department of Mathematics and Statistics"
"10.1101/025536","10.1093/gbe/evw242","USA","University at Buffalo, Department of Biological Sciences"
"10.1101/025544","10.1038/nmicrobiol.2015.8","THA","Mahidol University, Faculty of Tropical Medicine, Department of Tropical Hygiene"
"10.1101/025544","10.1038/nmicrobiol.2015.8","GBR","University of Oxford, Wellcome Trust Centre for Human Genetics"
"10.1101/025544","10.1038/nmicrobiol.2015.8","THA","Mahidol University, Faculty of Tropical Medicine, Mahidol-Oxford Tropical Medicine Research Unit"
"10.1101/025569","10.1214/16-sts553","GBR","Liverpool John Moores University, Centre for Public Health"
"10.1101/025577","10.1534/g3.115.021857","USA","Duke University, Department of Biology"
"10.1101/025585","10.15252/msb.20156662","BEL","VIB, Department of Medical Protein Research"
"10.1101/025585","10.15252/msb.20156662","BEL","Ghent University, Department of Biochemistry"
"10.1101/025601","10.1534/g3.115.023069","CHE","ETH Zurich, Department of Biology, Institute of Microbiology"
"10.1101/025650","10.1093/bioinformatics/btw114","GBR","European Bioinformatics Institute (EMBL-EBI), European Molecular Biology Laboratory"
"10.1101/025668","10.1016/j.myc.2015.12.005","JPN","Kyoto University, Graduate School of Agriculture"
"10.1101/025676","10.1038/nmeth.3803",NA,NA
"10.1101/025684","10.1016/j.tpb.2016.02.002","USA","Pennsylvania State University, Department of Biology"
"10.1101/025700","10.1186/s13062-016-0105-x","CHN","Genomics Center of Academy of Military Medical Sciences"
"10.1101/025700","10.1186/s13062-016-0105-x","CHN","Department of Biotechnology, Beijing Institute of Radiation Medicine"
"10.1101/025726","10.1111/ecog.01849","CAN","Univ. Laval, Pavillon Abitibi-Price, Dept des Sciences du Bois et de la Foret"
"10.1101/025726","10.1111/ecog.01849","CAN","Natural Resources Canada, Canadian Forest Service"
"10.1101/025742","10.1111/2041-210x.12674","USA","The George Washington University, Center for the Advanced Study of Human Paleobiology, Department of Anthropology"
"10.1101/025742","10.1111/2041-210x.12674","USA","American Museum of Natural History, Division of Anthropology"
"10.1101/025742","10.1111/2041-210x.12674","NOR","University of Oslo, Centre for Ecological and Evolutionary Synthesis (CEES), Department of Biosciences"
"10.1101/025767","10.1038/nbt.3677","USA","Emory University, Laney Graduate School, Program in Molecular and Systems Pharmacology"
"10.1101/025833","10.1016/j.scitotenv.2015.10.001","CHN","Key Lab of Marine Environmental Science and Ecology, Ministry of Education, Ocean University of China"
"10.1101/025841","10.1371/journal.pgen.1005563","USA","Fred Hutchinson Cancer Research Center, Divisions of Human Biology and Public Health Sciences, Howard Hughes Medical Institute"
"10.1101/025858","10.1186/s13059-015-0791-1","USA","Cellular and Developmental Biology, Department of Molecular, University of Colorado"
"10.1101/025858","10.1186/s13059-015-0791-1","USA","Howard Hughes Medical Institute, University of Colorado BioFrontiers Institute"
"10.1101/025866","10.1111/mec.13949","GUF","INRA, UMR EcoFoG (?Ecologie des forets de Guyane?)"
"10.1101/025866","10.1111/mec.13949","GUF","UAG, UMR EcoFoG (?Ecologie des forets de Guyane?)"
"10.1101/025874","10.1038/nmeth.4302","GBR","Medical Research Council Laboratory of Molecular Biology"
"10.1101/025882","10.1242/dev.132654","JPN","National Cerebral and Cardiovascular Center Research Institute, Department of Cell Biology"
"10.1101/025924","10.1093/bioinformatics/btw176","USA","Morgridge Institute for Research, Regenerative Biology Laboratory"
"10.1101/025940","10.1098/rstb.2015.0156","USA","Boise State University, Department of Anthropology"
"10.1101/025973","10.1111/mec.13625","JPN","Tohoku University, Graduate School of Life Sciences, Department of Ecology and Evolutionary Biology"
"10.1101/025981","10.1111/imb.12231","CHN","Chinese Academy of Agricultural Sciences, Institute of Plant Protection, State Key Laboratory for Biology of Plant Diseases and Insect Pests"
"10.1101/025999","10.1093/bioinformatics/btw108","JPN","Osaka University, Immunology Frontier Research Center"
"10.1101/026013","10.1101/gad.263327.115","USA","University of Pennsylvania, Perelman School of Medicine, Department of Medicine"
"10.1101/026013","10.1101/gad.263327.115","USA","University of Pennsylvania, Perelman School of Medicine, Abramson Cancer Center"
"10.1101/026013","10.1101/gad.263327.115","USA","University of Pennsylvania, Perelman School of Medicine, Division of Gastroenterology"
"10.1101/026013","10.1101/gad.263327.115","JPN","Chiba University, Graduate School of Medicine, Department of General Surgery"
"10.1101/026070","10.1371/journal.pcbi.1005150","USA","University of Washington, Department of Applied Mathematics"
"10.1101/026070","10.1371/journal.pcbi.1005150","USA","University of Washington, Department of Physiology and Biophysics"
"10.1101/026088","10.1002/ece3.2783","AUS","Centre for AgriBioscience, AgriBio, Agriculture Victoria"
"10.1101/026112","10.1371/journal.pgen.1005571","USA","University of Georgia, Department of Biochemistry and Molecular Biology"
"10.1101/026146","10.1534/genetics.116.188235","USA","Department of Agronomy, Development and Cell Biology, Department of Genetics"
"10.1101/026203","10.1186/s13062-016-0125-6","HUN","Research Centre for Natural Sciences, Institute of Enzymology, Hungarian Academy of Sciences"
"10.1101/026302","10.1158/0008-5472.can-16-0425","USA","Baruch S. Blumberg Institute, Pennsylvania Biotechnology Center of Bucks County"
"10.1101/026302","10.1158/0008-5472.can-16-0425","USA","Pennsylvania Cancer and Regenerative Medicine Research Center (PCARM)"
"10.1101/026310","10.1186/1471-2105-16-s18-s12","AUS","Advanced Analytics Institute, University of Technology Sydney, Faculty of Engineering and Information Technology"
"10.1101/026336","10.1155/2015/324048","BRA","Acre Federal University, Graduate Program in Ecology and the Management of Natural Resources"
"10.1101/026344","10.1534/genetics.115.184697","USA","University of Illinois at Urbana-Champaign, Department of Microbiology"
"10.1101/026351","10.1093/bioinformatics/btw156","IND","Indian Institute of Science, IISc Mathematics Initiative"
"10.1101/026377","10.1534/genetics.116.193896","IND","Council of Scientific & Industrial Research-Central Drug Research Institute, Molecular and Structural Biology Division"
"10.1101/026385","10.1186/s12859-016-0958-0","ITA","Politecnico di Torino, Department of Control and Computer Engineering DAUIN"
"10.1101/026393","10.1093/hmg/ddw328","DEU","Julius-Maximilians University, Institute of Human Genetics"
"10.1101/026427","10.1093/molbev/msv280","FRA","Bichat-Claude Bernard Hospital, French National Reference Center for Bacterial Resistance in Commensal Flora, Laboratory of Bacteriology"
"10.1101/026427","10.1093/molbev/msv280","FRA","UMR, IAME, INSERM"
"10.1101/026427","10.1093/molbev/msv280","USA","Brigham and Women's Hospital, Harvard Medical School, Department of Medicine"
"10.1101/026427","10.1093/molbev/msv280","FRA","Univ Paris Diderot, IAME, Faculte DeMedecine"
"10.1101/026435","10.1093/gbe/evw184","CHN","Zhejiang University, Key Laboratory of Agricultural Entomology, State Key Laboratory of Rice Biology and Ministry of Agriculture"
"10.1101/026450","10.1016/j.ajhg.2016.03.027","USA","Columbia University, Institute for Cancer Genetics"
"10.1101/026468","10.1038/sdata.2016.34","USA","Yale University, Yale School of Forestry AndEnvironmental Studies"
"10.1101/026476","10.1093/sysbio/syv120","ZAF","University of Pretoria, Department of Genetics, Molecular Ecology and Evolution Programme"
"10.1101/026484","10.1016/j.bpj.2015.11.019","FRA","Centre National de la Recherche Scientifique, Information et Complexite, Unite de Neurosciences"
"10.1101/026559","10.1371/journal.pcbi.1005063","BEL","VUB-EPFL International Joint Research Group (IJRG) NanoBiotechnology and NanoMedicine (NANO)"
"10.1101/026559","10.1371/journal.pcbi.1005063","BEL","Vrije Universiteit Brussel, AVSP Lab, Electronics and Informatics Dept (ETRO)"
"10.1101/026583","10.1016/j.epidem.2016.03.001","JPN","The University of Tokyo, Graduate School of Medicine"
"10.1101/026583","10.1016/j.epidem.2016.03.001","JPN","Hokkaido University, Graduate School of Medicine"
"10.1101/026583","10.1016/j.epidem.2016.03.001","JPN","Japan Science and Technology Agency, CREST"
"10.1101/026625","10.1534/g3.115.023366","USA","Lawrence Berkeley National Laboratory, Department of Genome Dynamics"
"10.1101/026625","10.1534/g3.115.023366","USA","University of California, Department of Biostatistics"
"10.1101/026641","10.1093/molbev/msw107","CAN","University of Ottawa, Department of Biology"
"10.1101/026658","10.1371/journal.pgen.1006179","GBR","University of Cambridge, Department of Plant Sciences"
"10.1101/026666","10.3389/fnsys.2016.00005","USA","University of Miami Miller School of Medicine, Department of Neurological Surgery"
"10.1101/026716","10.1111/rec.12352","USA","University of Maryland, Department of Entomology"
"10.1101/026732","10.1086/691329","BEL","Universite catholique de Louvain, Earth and Life Institute, Behavioural Ecology and Conservation Group"
"10.1101/026740","10.1111/1744-7917.12370","FRA","UMR (INRA/IRD/Cirad/Montpellier SupAgro) Centre de Biologie pour la Gestion des Populations, INRA"
"10.1101/026757","10.1038/hdy.2017.4","USA","North Carolina State University, USDA-ARS, Department of Crop Science"
"10.1101/026765","10.1111/jbi.12756","BRA","Instituto Nacional de Pesquisas da Amazonia (INPA), Postgraduate Programme in Ecology"
"10.1101/026765","10.1111/jbi.12756","BRA","Ecosfera Consultoria e Pesquisa em Meio Ambiente Ltda"
"10.1101/026823","10.1186/s12864-016-2368-0","MYS","UPM-Serdang, Universiti Putra Malaysia, Faculty of Biotechnology and Biomolecular Sciences"
"10.1101/026823","10.1186/s12864-016-2368-0","MYS","UPM-Serdang, Universiti Putra Malaysia, Institute of Tropical Agriculture"
"10.1101/026831","10.1371/journal.pgen.1006336","USA","University of Wisconsin-Madison, Laboratory of Genetics"
"10.1101/026831","10.1371/journal.pgen.1006336","CAN","University of Toronto, Department of Ecology and Evolutionary Biology"
"10.1101/026898","10.3389/fninf.2016.00002","USA","University of Washington, Department of Radiology"
"10.1101/026948","10.1038/nmeth.3701","GBR","Cambridge University, Department of Chemistry"
"10.1101/026948","10.1038/nmeth.3701","SWE","Karolinska Institutet, Department of Medical Biochemistry and Biophysics"
"10.1101/026948","10.1038/nmeth.3701","GBR","Medical Research Council Laboratory of Molecular Biology"
"10.1101/026971","10.1186/s13059-015-0797-8","ESP","Centre for Genomic Regulation (CRG), The Barcelona Institute of Science and Technology"
"10.1101/026971","10.1186/s13059-015-0797-8","PRT","University of Porto, Graduate program in Areas of Basic and Applied Biology, Abel Salazar Biomedical Sciences Institute"
"10.1101/027037","10.1093/nar/gkv1265","DEU","Johannes Gutenberg University, Institute of Anthropology"
"10.1101/027086","10.1111/evo.12861","CHE","University of Basel, Zoological Institute"
"10.1101/027086","10.1111/evo.12861","GBR","University of St Andrews, Centre for Biological Diversity"
"10.1101/027169","10.1016/j.ecocom.2016.05.003","PRT","Campus Agrario de Vair?o, InBIO/CIBIO?Research Centre in Biodiversity and Genetic Resources?University of Porto"
"10.1101/027169","10.1016/j.ecocom.2016.05.003","PRT","Universidade do Porto, Faculdade de Ciencias"
"10.1101/027185","10.1007/s12687-016-0260-x","USA","Mayo Clinic, Biomedical Ethics Program"
"10.1101/027185","10.1007/s12687-016-0260-x","USA","University of Chicago, Department of Anthropology"
"10.1101/027201","10.1093/bioinformatics/btw102","JPN","Kyoto University, Institute for Chemical Research, Bioinformatics Center"
"10.1101/027268","10.1371/journal.pcbi.1004721","CHE","ETH Zurich, Institute of Integrative Biology"
"10.1101/027292","10.1016/j.bpj.2016.05.012","USA","Pennsylvania State University, Department of Chemistry"
"10.1101/027292","10.1016/j.bpj.2016.05.012","USA","Pennsylvania State University, Center for RNA Molecular Biology"
"10.1101/027342","10.1093/bioinformatics/btv763","CAN","Simon Fraser University, Department of Statistics"
"10.1101/027342","10.1093/bioinformatics/btv763","CAN","University of Ottawa, Department of Mathematics and Statistics"
"10.1101/027359","10.1073/pnas.1523968113","USA","Case Western Reserve University School of Medicine, Department of Pathology"
"10.1101/027383","10.1038/nmicrobiol.2015.11","JPN","Kyushu University, Faculty of Science"
"10.1101/027383","10.1038/nmicrobiol.2015.11","JPN","University of the Ryukyus, Tropical Biosphere Research Center"
"10.1101/027383","10.1038/nmicrobiol.2015.11","JPN","National Institute of Advanced Industrial Science and Technology (AIST), Bioproduction Research Institute"
"10.1101/027391","10.1098/rspb.2015.2026","CAN","McMaster University, School of Computational Science and Engineering"
"10.1101/027417","10.1111/evo.12936",NA,"School of Biological Sciences St. Lucia, University of Queensland, QLD, Australia"
"10.1101/027433","10.1002/ece3.1914","GBR","University of Aberdeen, School of Biological Sciences"
"10.1101/027433","10.1002/ece3.1914","GBR","Marine Laboratory, Scottish Government, Marine Scotland Science"
"10.1101/027441","10.1111/jeb.12776","ESP","Universidad de Castilla-La Mancha, Facultad de Ciencias Ambientales y Bioquimica, Departamento de Ciencias Ambientales"
"10.1101/027441","10.1111/jeb.12776","ESP","Instituto de Investigacion en Recursos Cinegeticos (CSIC-UCLM-JCCM), Grupo de Investigacion de la Biodiversidad Genetica y Cultural"
"10.1101/027474","10.1093/bioinformatics/btw013","BEL","University of Liege, Department of Electrical Engineering and Computer Science and GIGA-Research, Systems and Modeling"
"10.1101/027474","10.1093/bioinformatics/btw013","FRA","Institut Pasteur, Bioimage Analysis Unit"
"10.1101/027490","10.1007/s00125-016-3930-7","ITA","AOU Citta della Salute e della Scienza, University of Torino, Department of Medical Sciences"
"10.1101/027532","10.1676/1559-4491-128.2.419","CHL","Institute of Ecology and Biodiversity"
"10.1101/027532","10.1676/1559-4491-128.2.419","CHL","Parque Etnobotanico Omora, Universidad de Magallanes"
"10.1101/027532","10.1676/1559-4491-128.2.419","USA","University of North Texas, Department of Biological Sciences"
"10.1101/027540","10.1371/journal.pgen.1006222","AUT","University and Research Center Campus Tulln, University of Natural Resources and Life Sciences, Department of Applied Genetics and Cell Biology"
"10.1101/027540","10.1371/journal.pgen.1006222","AUT","University of Veterinary Medicine Vienna, Department of Pathobiology, Institute of Microbiology"
"10.1101/027581","10.1016/j.jtbi.2016.02.016","GBR","University of Leicester, Department of Mathematics"
"10.1101/027631","10.15252/embj.201592701","DEU","Saarland University, Medical School, Institute for Anatomy and Cell Biology"
"10.1101/027631","10.15252/embj.201592701","USA","Stanford University School of Medicine, Howard Hughes Medical Institute, Department of Molecular and Cellular Physiology"
"10.1101/027649","10.1101/gr.201400.115","CHE","University of Lausanne, Faculty of Biology and Medicine, Center for Integrative Genomics"
"10.1101/027755","10.1093/bib/bbw088","CAN","University of Western Ontario"
"10.1101/027763","10.1016/j.gene.2016.02.037","CHN","Nanjing Normal University, College of Life Sciences, Jiangsu Key Laboratory for Biodiversity and Biotechnology"
"10.1101/027771","10.1038/ng.3523","SWE","Karolinska Institutet, Department of Medical Epidemiology and Biostatistics"
"10.1101/027789","10.1080/15592294.2016.1159369","JPN","The University of Tokyo, Department of Animal Resource Sciences/Veterinary Medical Sciences"
"10.1101/027797","10.1534/g3.115.026328","USA","Michigan State University, Department of Epidemiology and Biostatistics"
"10.1101/027805","10.2144/000114417","BEL","The Flanders Institute for Biotechnology (VIB), Inflammation Research Center"
"10.1101/027805","10.2144/000114417","BEL","Ghent University, BCCM/LMBP Plasmid Collection, Department of Biomedical Molecular Biology"
"10.1101/027805","10.2144/000114417","BEL","Ghent University, Department of Biomedical Molecular Biology"
"10.1101/027813","10.1007/s10841-016-9879-5","ESP","Natural Sciences Museum of Barcelona, Department of Arthropods, Laboratory of Nature"
"10.1101/027813","10.1007/s10841-016-9879-5","ESP","University of Barcelona, IRBio"
"10.1101/027821","10.1111/1365-2656.12497","ITA","University of Milano Bicocca, Department of Earth and Environmental Sciences (DISAT)"
"10.1101/027847","10.1111/phen.12127","CAN","St Francis Xavier University, Department of Human Kinetics"
"10.1101/027847","10.1111/phen.12127","CAN","University of Calgary, Cumming School of Medicine, Department of Medical Science"
"10.1101/027904","10.1093/bioinformatics/btv662","CHN","Harbin Institute of Technology, Center for Bioinformatics"
"10.1101/027912","10.1073/pnas.1518980113","USA","Pennsylvania State University, Materials Research Institute, Department of Mechanical and Nuclear Engineering"
"10.1101/027938","10.1371/journal.pgen.1005754","CAN","University of British Columbia, Department of Cellular and Physiological Sciences"
"10.1101/027946","10.3389/fncel.2016.00174","NLD","Maastricht University Medical Centre, Department of Neurology"
"10.1101/027953","10.1186/s12864-016-3415-6","DNK","National Veterinary Institute, Technical University of Denmark"
"10.1101/027961","10.1534/g3.115.026773","ISR","Mayer Children's Hospital, Division of Pediatric Endocrinology"
"10.1101/027961","10.1534/g3.115.026773","ISR","Rambam Medical Center, Department of Human Genetics"
"10.1101/027961","10.1534/g3.115.026773","ISR","The Technion - Israel Institute of Technology, Rappaport Family Faculty of Medicine"
"10.1101/027979","10.1016/j.currproblcancer.2015.10.001",NA,NA
"10.1101/027995","10.1016/j.jtbi.2015.11.025","GBR","University of Bath, Department of Mathematical Sciences"
"10.1101/028001","10.1093/humrep/dev320","USA","Eastern Virginia Medical School, Department of Physiological Sciences"
"10.1101/028027","10.3389/fnsys.2016.00022","USA","Temple University, Department of Kinesiology"
"10.1101/028068","10.1186/s13059-016-1000-6","NLD","Molecular Epidemiology section, Leiden University Medical Center"
"10.1101/028076","10.1371/journal.pcbi.1004645","USA","Fred Hutchinson Cancer Research Center, Division of Basic Sciences"
"10.1101/028076","10.1371/journal.pcbi.1004645","USA","University of Washington"
"10.1101/028092","10.1111/jeb.12876",NA,"Behavioural Biology, Institute of Biology (IBL), Leiden University, Leiden, the Netherlands"
"10.1101/028092","10.1111/jeb.12876",NA,"Animal Ecology, Department of Ecological Science, VU University Amsterdam, Amsterdam, the Netherlands"
"10.1101/028100","10.1093/nar/gkw353","USA","Georgia State University, Department of Chemistry"
"10.1101/028134","10.1534/g3.116.028076","NZL","University of Otago, Department of Zoology, Allan Wilson Centre"
"10.1101/028167","10.1186/s12915-015-0197-2","GBR","University of Liverpool, Mammalian Behaviour and Evolution Group, Institute of Integrative Biology"
"10.1101/028167","10.1186/s12915-015-0197-2","DEU","Bielefeld University, Evolutionary Biology"
"10.1101/028175","10.1371/journal.pcbi.1004800","USA","Los Angeles, University of California, Department of Bioengineering"
"10.1101/028175","10.1371/journal.pcbi.1004800","USA","Los Angeles, University of California, Department of Chemical and Biomolecular Engineering"
"10.1101/028209","10.1371/journal.pcbi.1005486","USA","CUNY, The Graduate Center, Initiative for the Theoretical Sciences"
"10.1101/028209","10.1371/journal.pcbi.1005486","USA","University of Pennsylvania, David Rittenhouse Laboratories"
"10.1101/028217","10.1186/s13059-016-1001-5","GBR","Epigenetics Programme, The Babraham Institute"
"10.1101/028241","10.1038/gim.2015.180","USA","Laboratory Corporation of America Holdings, Integrated Genetics"
"10.1101/028282","10.1038/ng.3588","USA","New York University, Department of Biology, Center for Genomics and Systems Biology"
"10.1101/028290","10.1080/15384047.2016.1139228","CHN","Nankai University, School of Medicine"
"10.1101/028324","10.1016/j.ympev.2017.01.015","CHN","Chinese Academy of Sciences, Kunming Institute of Botany, Germplasm Bank of Wild Species"
"10.1101/028324","10.1016/j.ympev.2017.01.015","CHN","Chinese Academy of Sciences, Kunming Institute of Botany, Key Laboratory for Plant Diversity and Biogeography of East Asia"
"10.1101/028332","10.1093/nar/gkx136","DEU","University of Leipzig, Institute of Experimental Physics i"
"10.1101/028332","10.1093/nar/gkx136","CHE","University of Zurich, Department of Biochemistry"
"10.1101/028332","10.1093/nar/gkx136","CHE","Swiss Federal Institute of Technology, Institute of Molecular Biology and Biophysics"
"10.1101/028357","10.1098/rsif.2016.0346","USA","Drexel University, Science and Health Systems, School of Biomedical Engineering"
"10.1101/028399","10.1101/gr.200527.115","BEL","KU Leuven, Center of Human Genetics, Laboratory of Cytogenetics and Genome Research"
"10.1101/028423","10.1515/biolog-2015-0189","SVK","University of Veterinary Medicine and Pharmacy, Histology and Physiology, Department of Anatomy"
"10.1101/028456","10.1016/j.cell.2016.04.002","USA","University of Washington, Department of Bioengineering"
"10.1101/028464","10.1371/journal.pgen.1005995","PRT","Faculdade de Medicina de Lisboa, Instituto de Medicina Molecular"
"10.1101/028464","10.1371/journal.pgen.1005995","PRT","Universidade NOVA de Lisboa, Faculdade de Ciencias Medicas, NOVA Medical School"
"10.1101/028506","10.1186/s12866-016-0846-9","JPN","Inc., Advanced Life Science Institute, RandD Department"
"10.1101/028548","10.1002/psp4.12054","FRA","Institut de Recherches Internationales Servier, Division of Clinical Pharmacokinetics and Pharmacometrics"
"10.1101/028548","10.1002/psp4.12054","FRA","UMR 1137, IAME, INSERM"
"10.1101/028548","10.1002/psp4.12054","FRA","UMR 1137, IAME, Universite Paris Diderot"
"10.1101/028555","10.1093/nar/gkw608","FRA","Universit e Paris-Saclay, Univ Paris-Sud, CNRS"
"10.1101/028571","10.1016/j.anbehav.2015.10.033","USA","Duke University, Department of Evolutionary Anthropology"
"10.1101/028647","10.1111/mec.13480","USA","Princeton University, Ecology and Evolutionary Biology"
"10.1101/028720","10.1016/j.genrep.2015.12.003","LBN","American University of Beirut Medical Center (AUBMC), Department of Pathology and Laboratory Medicine"
"10.1101/028753","10.1534/genetics.115.184218","CAN","University of Calgary, Department of Biological Sciences"
"10.1101/028787","10.1101/gr.204834.116","USA","Harvard Medical School, Department of Genetics"
"10.1101/028803","10.1186/s12885-016-2191-7","DEU","Group Inflammatory Carcinogenesis, Christian-Albrechts-University Kiel, Institute for Experimental Cancer Research"
"10.1101/028837","10.1534/genetics.115.179309","SWE","Ume? University, Department of Molecular Biology"
"10.1101/028837","10.1534/genetics.115.179309","RUS","Russian Academy of Sciences, Koltzov Institute of Developmental Biology"
"10.1101/028860","10.1186/s12864-016-2667-5","RUS","Siberian Branch of the RAS, Institute of Molecular and Cellular Biology"
"10.1101/028902","10.1093/molbev/msv213","AUS","University of Queensland, Queensland Brain Institute"
"10.1101/028936","10.1371/journal.pcbi.1004799","USA","Gladstone Institutes (Virology and Immunology)"
"10.1101/028936","10.1371/journal.pcbi.1004799","USA","Harvard University, Wyss Institute for Biologically Inspired Engineering"
"10.1101/028951","10.1016/j.jalz.2015.08.164","USA","Mayo Clinic and Foundation, Department of Neurology"
"10.1101/028969","10.1016/j.meegid.2015.12.022","CHN","Beijing Institute of Microbiology and Epidemiology, State Key Laboratory of Pathogen and Biosecurity"
"10.1101/028993","10.1371/journal.pcbi.1005354","CHN","Peking University, School of Physics, State Key Laboratory of Nuclear Physics and Technology"
"10.1101/029009","10.1186/s12918-016-0262-7","GBR","Rufus Scientific Ltd."
"10.1101/029009","10.1186/s12918-016-0262-7","USA","Atmospheric and Planetary Sciences Department, Earth, MIT"
"10.1101/029017","10.1371/journal.pcbi.1005318","GBR","University of Warwick, School of Life Sciences"
"10.1101/029017","10.1371/journal.pcbi.1005318","GBR","University of Nottingham, School of Veterinary Medicine and Science"
"10.1101/029033","10.1534/g3.116.029231","DEU","University of Munster, Institute for Evolution and Biodiversity"
"10.1101/029041","10.1093/nar/gkw203","DEU","Max Planck Institute for Molecular Genetics"
"10.1101/029116","10.1039/c5ib00269a","SGP","Nanyang Technological University, School of Materials Science and Engineering"
"10.1101/029116","10.1039/c5ib00269a","SGP","Nanyang Technological University, Centre for Biomimetic Sensor Science"
